Pathway,NES,FDR_q_val,Gene
Protein Secretion,1.5938715575265758,0.01,SCRN1
Protein Secretion,1.5938715575265758,0.01,SSPN
Protein Secretion,1.5938715575265758,0.01,CLCN3
Protein Secretion,1.5938715575265758,0.01,VPS4B
Protein Secretion,1.5938715575265758,0.01,YIPF6
Protein Secretion,1.5938715575265758,0.01,RAB2A
Protein Secretion,1.5938715575265758,0.01,VAMP3
Protein Secretion,1.5938715575265758,0.01,RAB14
Protein Secretion,1.5938715575265758,0.01,RAB9A
Protein Secretion,1.5938715575265758,0.01,ATP6V1H
Protein Secretion,1.5938715575265758,0.01,VAMP7
Protein Secretion,1.5938715575265758,0.01,STX7
Protein Secretion,1.5938715575265758,0.01,CAV2
Protein Secretion,1.5938715575265758,0.01,AP3S1
Protein Secretion,1.5938715575265758,0.01,TPD52
Protein Secretion,1.5938715575265758,0.01,SCAMP1
Protein Secretion,1.5938715575265758,0.01,TOM1L1
Protein Secretion,1.5938715575265758,0.01,BET1
Protein Secretion,1.5938715575265758,0.01,COPB1
Protein Secretion,1.5938715575265758,0.01,AP3B1
Protein Secretion,1.5938715575265758,0.01,ABCA1
Protein Secretion,1.5938715575265758,0.01,USO1
Protein Secretion,1.5938715575265758,0.01,ADAM10
Protein Secretion,1.5938715575265758,0.01,ARFGEF1
Protein Secretion,1.5938715575265758,0.01,SOD1
Protein Secretion,1.5938715575265758,0.01,VAMP4
Protein Secretion,1.5938715575265758,0.01,SGMS1
Protein Secretion,1.5938715575265758,0.01,SNAP23
Protein Secretion,1.5938715575265758,0.01,KIF1B
Protein Secretion,1.5938715575265758,0.01,TMED2
Protein Secretion,1.5938715575265758,0.01,RER1
Protein Secretion,1.5938715575265758,0.01,BNIP3
Protein Secretion,1.5938715575265758,0.01,AP2S1
Protein Secretion,1.5938715575265758,0.01,TMED10
Protein Secretion,1.5938715575265758,0.01,PPT1
Protein Secretion,1.5938715575265758,0.01,CTSC
Protein Secretion,1.5938715575265758,0.01,COPE
Protein Secretion,1.5938715575265758,0.01,PAM
Fatty Acid Metabolism,1.5412554005910657,0.01,ACOX1
Fatty Acid Metabolism,1.5412554005910657,0.01,ME1
Fatty Acid Metabolism,1.5412554005910657,0.01,NBN
Fatty Acid Metabolism,1.5412554005910657,0.01,NTHL1
Fatty Acid Metabolism,1.5412554005910657,0.01,ALDH3A2
Fatty Acid Metabolism,1.5412554005910657,0.01,EHHADH
Fatty Acid Metabolism,1.5412554005910657,0.01,ALDH9A1
Fatty Acid Metabolism,1.5412554005910657,0.01,CD36
Fatty Acid Metabolism,1.5412554005910657,0.01,MDH1
Fatty Acid Metabolism,1.5412554005910657,0.01,HSDL2
Fatty Acid Metabolism,1.5412554005910657,0.01,EPHX1
Fatty Acid Metabolism,1.5412554005910657,0.01,HSP90AA1
Fatty Acid Metabolism,1.5412554005910657,0.01,AUH
Fatty Acid Metabolism,1.5412554005910657,0.01,SLC22A5
Fatty Acid Metabolism,1.5412554005910657,0.01,GRHPR
Fatty Acid Metabolism,1.5412554005910657,0.01,CRAT
Fatty Acid Metabolism,1.5412554005910657,0.01,CPT1A
Fatty Acid Metabolism,1.5412554005910657,0.01,PTPRG
Fatty Acid Metabolism,1.5412554005910657,0.01,CRYZ
Fatty Acid Metabolism,1.5412554005910657,0.01,SDHA
Fatty Acid Metabolism,1.5412554005910657,0.01,ACAA1
Fatty Acid Metabolism,1.5412554005910657,0.01,SUCLG2
Fatty Acid Metabolism,1.5412554005910657,0.01,PRDX6
Fatty Acid Metabolism,1.5412554005910657,0.01,DLD
Fatty Acid Metabolism,1.5412554005910657,0.01,CBR3
Fatty Acid Metabolism,1.5412554005910657,0.01,UROS
Fatty Acid Metabolism,1.5412554005910657,0.01,HIBCH
Fatty Acid Metabolism,1.5412554005910657,0.01,RETSAT
Fatty Acid Metabolism,1.5412554005910657,0.01,MAOA
Fatty Acid Metabolism,1.5412554005910657,0.01,PPARA
Fatty Acid Metabolism,1.5412554005910657,0.01,SERINC1
Fatty Acid Metabolism,1.5412554005910657,0.01,GAD2
Fatty Acid Metabolism,1.5412554005910657,0.01,S100A10
Fatty Acid Metabolism,1.5412554005910657,0.01,GABARAPL1
Fatty Acid Metabolism,1.5412554005910657,0.01,IDH1
Fatty Acid Metabolism,1.5412554005910657,0.01,HCCS
Fatty Acid Metabolism,1.5412554005910657,0.01,ACSL5
Fatty Acid Metabolism,1.5412554005910657,0.01,UROD
Fatty Acid Metabolism,1.5412554005910657,0.01,HSD17B10
Fatty Acid Metabolism,1.5412554005910657,0.01,CPT2
Fatty Acid Metabolism,1.5412554005910657,0.01,MDH2
Fatty Acid Metabolism,1.5412554005910657,0.01,SUCLA2
Fatty Acid Metabolism,1.5412554005910657,0.01,CPOX
Fatty Acid Metabolism,1.5412554005910657,0.01,ELOVL5
Fatty Acid Metabolism,1.5412554005910657,0.01,PDHB
Fatty Acid Metabolism,1.5412554005910657,0.01,MGLL
Fatty Acid Metabolism,1.5412554005910657,0.01,ETFDH
Fatty Acid Metabolism,1.5412554005910657,0.01,ECI2
Fatty Acid Metabolism,1.5412554005910657,0.01,CYP1A1
Fatty Acid Metabolism,1.5412554005910657,0.01,HSD17B11
Fatty Acid Metabolism,1.5412554005910657,0.01,HADH
Fatty Acid Metabolism,1.5412554005910657,0.01,SDHC
Fatty Acid Metabolism,1.5412554005910657,0.01,ACSL1
Fatty Acid Metabolism,1.5412554005910657,0.01,IDH3G
UV Response Dn,1.5019572848758722,0.01915563957151859,NR1D2
UV Response Dn,1.5019572848758722,0.01915563957151859,CELF2
UV Response Dn,1.5019572848758722,0.01915563957151859,VLDLR
UV Response Dn,1.5019572848758722,0.01915563957151859,TGFBR3
UV Response Dn,1.5019572848758722,0.01915563957151859,SMAD3
UV Response Dn,1.5019572848758722,0.01915563957151859,ATRX
UV Response Dn,1.5019572848758722,0.01915563957151859,NIPBL
UV Response Dn,1.5019572848758722,0.01915563957151859,CDK13
UV Response Dn,1.5019572848758722,0.01915563957151859,NEK7
UV Response Dn,1.5019572848758722,0.01915563957151859,FYN
UV Response Dn,1.5019572848758722,0.01915563957151859,ATP2C1
UV Response Dn,1.5019572848758722,0.01915563957151859,BMPR1A
UV Response Dn,1.5019572848758722,0.01915563957151859,CAV1
UV Response Dn,1.5019572848758722,0.01915563957151859,TJP1
UV Response Dn,1.5019572848758722,0.01915563957151859,NFIB
UV Response Dn,1.5019572848758722,0.01915563957151859,MRPS31
UV Response Dn,1.5019572848758722,0.01915563957151859,PTPN21
UV Response Dn,1.5019572848758722,0.01915563957151859,CAP2
UV Response Dn,1.5019572848758722,0.01915563957151859,CDC42BPA
UV Response Dn,1.5019572848758722,0.01915563957151859,MAP1B
UV Response Dn,1.5019572848758722,0.01915563957151859,PHF3
UV Response Dn,1.5019572848758722,0.01915563957151859,EFEMP1
UV Response Dn,1.5019572848758722,0.01915563957151859,APBB2
UV Response Dn,1.5019572848758722,0.01915563957151859,PPARG
UV Response Dn,1.5019572848758722,0.01915563957151859,SPOP
UV Response Dn,1.5019572848758722,0.01915563957151859,IGF1R
UV Response Dn,1.5019572848758722,0.01915563957151859,PMP22
UV Response Dn,1.5019572848758722,0.01915563957151859,ATP2B4
UV Response Dn,1.5019572848758722,0.01915563957151859,GRK5
UV Response Dn,1.5019572848758722,0.01915563957151859,CITED2
UV Response Dn,1.5019572848758722,0.01915563957151859,RXRA
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,NQO1
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,MSRA
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,LAMTOR5
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,FTL
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,PRDX2
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,PRDX6
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,SOD1
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,ABCC1
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,GPX4
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,CAT
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,NDUFA6
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,MPO
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,TXNRD1
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,OXSR1
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,TXN
Reactive Oxygen Species Pathway,1.3839332026488116,0.06983826927116153,STK25
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,PEX1
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,SCP2
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,ALDH9A1
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,OPTN
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,ABCA8
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,ABCD3
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,PEX16
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,PEX19
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,FADS2
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,HSD17B6
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,BCAR3
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,ABCA1
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,RXRA
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,CYP27A1
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,CYP46A1
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,RETSAT
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,CYP39A1
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,SOD1
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,DIO2
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,CROT
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,CAT
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,ABCD1
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,NR1I2
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,LCK
Bile Acid Metabolism,1.2413179151387792,0.23773516968223962,IDH1
Pperoxisome,1.237548279044593,0.20951480781348458,ACOX1
Pperoxisome,1.237548279044593,0.20951480781348458,VPS4B
Pperoxisome,1.237548279044593,0.20951480781348458,HRAS
Pperoxisome,1.237548279044593,0.20951480781348458,EHHADH
Pperoxisome,1.237548279044593,0.20951480781348458,SCP2
Pperoxisome,1.237548279044593,0.20951480781348458,ALDH9A1
Pperoxisome,1.237548279044593,0.20951480781348458,CTBP1
Pperoxisome,1.237548279044593,0.20951480781348458,STS
Pperoxisome,1.237548279044593,0.20951480781348458,ABCD3
Pperoxisome,1.237548279044593,0.20951480781348458,CRAT
Pperoxisome,1.237548279044593,0.20951480781348458,SEMA3C
Pperoxisome,1.237548279044593,0.20951480781348458,ACAA1
Pperoxisome,1.237548279044593,0.20951480781348458,DLG4
Pperoxisome,1.237548279044593,0.20951480781348458,RETSAT
Pperoxisome,1.237548279044593,0.20951480781348458,SOD1
Pperoxisome,1.237548279044593,0.20951480781348458,ITGB1BP1
Pperoxisome,1.237548279044593,0.20951480781348458,TSPO
Pperoxisome,1.237548279044593,0.20951480781348458,CAT
Pperoxisome,1.237548279044593,0.20951480781348458,ABCD1
Pperoxisome,1.237548279044593,0.20951480781348458,PEX14
Pperoxisome,1.237548279044593,0.20951480781348458,NR1I2
Pperoxisome,1.237548279044593,0.20951480781348458,IDH1
TGF-beta Signaling,1.2008525011893159,0.23013372540782748,TRIM33
TGF-beta Signaling,1.2008525011893159,0.23013372540782748,SMAD3
TGF-beta Signaling,1.2008525011893159,0.23013372540782748,BMPR1A
TGF-beta Signaling,1.2008525011893159,0.23013372540782748,TJP1
TGF-beta Signaling,1.2008525011893159,0.23013372540782748,CDKN1C
TGF-beta Signaling,1.2008525011893159,0.23013372540782748,PMEPA1
TGF-beta Signaling,1.2008525011893159,0.23013372540782748,SMURF2
TGF-beta Signaling,1.2008525011893159,0.23013372540782748,HIPK2
TGF-beta Signaling,1.2008525011893159,0.23013372540782748,FNTA
TGF-beta Signaling,1.2008525011893159,0.23013372540782748,BCAR3
TGF-beta Signaling,1.2008525011893159,0.23013372540782748,PPM1A
TGF-beta Signaling,1.2008525011893159,0.23013372540782748,SPTBN1
Notch Signaling,1.1337798768029324,0.3591682419659736,PSENEN
Notch Signaling,1.1337798768029324,0.3591682419659736,CCND1
Notch Signaling,1.1337798768029324,0.3591682419659736,SAP30
Notch Signaling,1.1337798768029324,0.3591682419659736,PPARD
Notch Signaling,1.1337798768029324,0.3591682419659736,PSEN2
Notch Signaling,1.1337798768029324,0.3591682419659736,APH1A
Notch Signaling,1.1337798768029324,0.3591682419659736,FZD7
Notch Signaling,1.1337798768029324,0.3591682419659736,TCF7L2
Notch Signaling,1.1337798768029324,0.3591682419659736,WNT5A
Notch Signaling,1.1337798768029324,0.3591682419659736,SKP1
