gene_symbol,gene_title,logFC,P.Value,adj.P.Val
RAD21,RAD21 cohesin complex component,0.11078657506941283,0.47648374256766535,0.8828029738853655
WDR1,WD repeat domain 1,-0.10785678797348874,0.5448639162668916,0.8989046052431875
NCL,nucleolin,-0.06291624788528695,0.46813649086446696,0.8809018961803992
WDR1,WD repeat domain 1,-0.1851965464413224,0.3202595647543563,0.8650998688947181
AP2B1,adaptor related protein complex 2 beta 1 subunit,0.08840464025442207,0.6199139861243929,0.9151429196171377
AP2M1,adaptor related protein complex 2 mu 1 subunit,0.0827671399163221,0.6191582478171902,0.9151268464909365
CLTC,clathrin heavy chain,0.04851973301475786,0.6695064005244242,0.9317026507379562
AP2B1,adaptor related protein complex 2 beta 1 subunit,-0.11207005684728294,0.21465345975269995,0.8650998688947181
MLEC,malectin,0.4907439151619955,0.043931210341587014,0.8650998688947181
MLEC,malectin,0.018739891515492543,0.9061668621095442,0.9845457288503372
LASP1,LIM and SH3 protein 1,0.23362601167413147,0.02129084356891376,0.8650998688947181
SF3B2,splicing factor 3b subunit 2,0.14912461668530616,0.39158892999974926,0.8672904451442797
TMEM59,transmembrane protein 59,0.17173666825414405,0.10496474288745213,0.8650998688947181
CSRP1,cysteine and glycine rich protein 1,-0.11282142434213302,0.4167515229893377,0.8702110228419003
CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1,-0.04203924327805836,0.49903989206727484,0.8858232566758767
CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1,-0.008306086113505159,0.963814581675122,0.9933237110587879
SNHG4///MATR3,small nucleolar RNA host gene 4///matrin 3,-0.12538951527159894,0.46611712102675507,0.8807792915811246
CAP1,adenylate cyclase associated protein 1,0.1113716472584609,0.3428488877632482,0.8650998688947181
SNHG4///MATR3,small nucleolar RNA host gene 4///matrin 3,-0.02435146983349238,0.8358908561621838,0.97094161629232
PTGES3,prostaglandin E synthase 3,0.01996700211384231,0.8719478687841402,0.9794787578424176
WARS,tryptophanyl-tRNA synthetase,-0.2574639912917639,0.2197474930379253,0.8650998688947181
WARS,tryptophanyl-tRNA synthetase,0.19335907455786322,0.43958403118022626,0.87676437858479
SETSIP///SET,SET-like protein///SET nuclear proto-oncogene,0.15638672103490864,0.5259398318519711,0.8936217444375166
SETSIP///SET,SET-like protein///SET nuclear proto-oncogene,-0.06874798762028085,0.5377534955631251,0.897918876580819
NDRG1,N-myc downstream regulated 1,0.09566908242987703,0.49083477716090573,0.8852541513795976
UBB,ubiquitin B,0.008217677231061793,0.884188876166487,0.9819237310527702
PFN1,profilin 1,-0.06480276881262359,0.7692468172886288,0.9530538886804787
PTPRF,"protein tyrosine phosphatase, receptor type F",0.2542351334277014,0.19153459593153846,0.8650998688947181
PTPRF,"protein tyrosine phosphatase, receptor type F",0.13446716774723735,0.34551116391888903,0.8650998688947181
PTPRF,"protein tyrosine phosphatase, receptor type F",0.055889088528787156,0.7374663807653313,0.9451503105395014
YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,-0.05861389145633103,0.6863669509362929,0.9346412373361415
YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,0.0558217824273979,0.7100271365022321,0.9382393158919011
YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,-0.0883499948077889,0.41202761535166954,0.8695040143984362
YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,-0.2695880596598487,0.03917358329383312,0.8650998688947181
SOD1,"superoxide dismutase 1, soluble",0.1359295163856313,0.2008061573299898,0.8650998688947181
HDLBP,high density lipoprotein binding protein,0.13073447669139862,0.26264302846800464,0.8650998688947181
MARCKSL1,MARCKS like 1,0.07643600896306135,0.6789555588009459,0.9330093763697507
GABARAP,GABA type A receptor-associated protein,0.06644562836213733,0.604128472146537,0.912815932103187
NUCB1,nucleobindin 1,0.11742286173490539,0.4808741469313714,0.8828029738853655
EIF3CL///EIF3C,eukaryotic translation initiation factor 3 subunit C-like///eukaryotic translation initiation factor 3 subunit C,0.10667340131959854,0.7253386912143907,0.9423022978903896
GLUL,glutamate-ammonia ligase,-0.3935351205644437,0.06407985121437448,0.8650998688947181
NUCB1,nucleobindin 1,0.06652229060754926,0.6327172668181932,0.9196047332238043
LDHA,lactate dehydrogenase A,-0.030091419658570238,0.8236207241455792,0.9670060338249727
SNORD96A///SNORD95///RACK1,"small nucleolar RNA, C/D box 96A///small nucleolar RNA, C/D box 95///receptor for activated C kinase 1",-0.01826613077876312,0.8837485473824489,0.9819237310527702
SSR2,signal sequence receptor subunit 2,0.02558395706875038,0.8968581148504322,0.9831910992027989
CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1,0.13804560246522032,0.20056839391488132,0.8650998688947181
P4HB,prolyl 4-hydroxylase subunit beta,0.10301598625743284,0.4119658394903011,0.8695040143984362
CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1,0.1412329001851475,0.09009687441471638,0.8650998688947181
P4HB,prolyl 4-hydroxylase subunit beta,-0.03526344100722512,0.7562408238818477,0.9509804284718092
SLC25A5,solute carrier family 25 member 5,-0.11011355508672149,0.45602760586713786,0.8805074408802747
PHB,prohibitin,0.10083023430035788,0.5725806831992462,0.904398755693837
PHB,prohibitin,0.16540543798592794,0.3232179184202739,0.8650998688947181
S100A11,S100 calcium binding protein A11,0.0404643433500082,0.8257374506052004,0.9678945628991724
CTSA,cathepsin A,0.11569162404989637,0.3724710057073738,0.8653545768535273
TOMM20,translocase of outer mitochondrial membrane 20,-0.02505229147538,0.8072008372538657,0.9622008627982186
CD63,CD63 molecule,-0.05055085540506832,0.5528931738818191,0.9007999385691308
DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,-0.2989099502699584,0.3050681494667601,0.8650998688947181
SPARC,secreted protein acidic and cysteine rich,0.008173881052676779,0.9439982946203643,0.9896589259028263
DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,0.06430053662178871,0.7959446146373474,0.9592415147800192
UBE2D3,ubiquitin conjugating enzyme E2 D3,0.02714813700183721,0.7917977691176437,0.958552531193441
UBE2D3,ubiquitin conjugating enzyme E2 D3,-0.05588145095508967,0.5547142734006836,0.9007999385691308
UBE2D3,ubiquitin conjugating enzyme E2 D3,-0.20429043477668193,0.196502559051972,0.8650998688947181
XBP1,X-box binding protein 1,-0.47374037560233545,0.06541470610799141,0.8650998688947181
SPTBN1,"spectrin beta, non-erythrocytic 1",-0.049266691065546424,0.7896362190133704,0.9579649151663214
SPTBN1,"spectrin beta, non-erythrocytic 1",0.1318293135214651,0.4127451329367948,0.8695040143984362
LAPTM4A,lysosomal protein transmembrane 4 alpha,-0.08970844788974673,0.2451661121621047,0.8650998688947181
RPL32,ribosomal protein L32,0.08573526803454291,0.37993471716375915,0.8662425945269296
CD81,CD81 molecule,0.16176252528368593,0.21083259155988632,0.8650998688947181
UBE2L3,ubiquitin conjugating enzyme E2 L3,0.018515392897629178,0.8744201573715584,0.980002682363506
PTTG1IP,pituitary tumor-transforming 1 interacting protein,-0.04786930465088283,0.7053548477015359,0.9382393158919011
GRN,granulin,-0.020922403223197238,0.8661814035818838,0.9775871123521997
HMGB1,high mobility group box 1,0.06700450991158383,0.6518563864266226,0.9267303078584522
HMGB1,high mobility group box 1,0.18288962287183544,0.09137178055165066,0.8650998688947181
GLO1,glyoxalase I,0.10679606417854771,0.36166590943563126,0.8650998688947181
UBE2L3,ubiquitin conjugating enzyme E2 L3,0.11936870574163004,0.2747994214317317,0.8650998688947181
UBE2L3,ubiquitin conjugating enzyme E2 L3,-0.14900184136048245,0.27003558517489584,0.8650998688947181
UBE2L3,ubiquitin conjugating enzyme E2 L3,0.133219006959256,0.3870986803920542,0.8672904451442797
SRSF11,serine and arginine rich splicing factor 11,0.27180606921043704,0.2660348294369827,0.8650998688947181
SRSF11,serine and arginine rich splicing factor 11,-0.02414007566484063,0.8818579718506911,0.9814119683586688
SF3B3,splicing factor 3b subunit 3,0.03077447864424254,0.7992597600209936,0.960276108457344
SF3B3,splicing factor 3b subunit 3,-0.07462220679590395,0.6976799788474927,0.9370242035113323
MIR3654///EEF1G,microRNA 3654///eukaryotic translation elongation factor 1 gamma,-0.0997236979246874,0.41390432668994703,0.8699255954162781
HSPA9,heat shock protein family A (Hsp70) member 9,-0.03219322523094036,0.8803630034286892,0.9813296806288537
HSPA9,heat shock protein family A (Hsp70) member 9,-0.19305487628086773,0.12704945991161037,0.8650998688947181
HSPA9,heat shock protein family A (Hsp70) member 9,-0.18698831594124424,0.265115262574884,0.8650998688947181
YWHAQ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta,-0.0447899421882217,0.4199904721777241,0.8703647491542057
DDX24,DEAD-box helicase 24,0.0216390468056443,0.7109935502012557,0.9385126233199446
PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha,0.025767759879553178,0.8506185815899121,0.9752179052510472
GSN,gelsolin,0.14403522230183913,0.23186910559096266,0.8650998688947181
HK1,hexokinase 1,-0.1314393209705607,0.5089412253247607,0.8882416109971402
KDELR2,KDEL endoplasmic reticulum protein retention receptor 2,-0.23294760340438017,0.14468537888995647,0.8650998688947181
KDELR2,KDEL endoplasmic reticulum protein retention receptor 2,0.05288969270291362,0.6780994589663265,0.9329481310857992
KDELR2,KDEL endoplasmic reticulum protein retention receptor 2,-0.08870335791100185,0.27083740029517783,0.8650998688947181
NPC2,NPC intracellular cholesterol transporter 2,0.13788441788660738,0.4571747104495901,0.8807468060965137
DDX24,DEAD-box helicase 24,-0.04532455192961178,0.9054444125523609,0.9845457288503372
DYNLL1,dynein light chain LC8-type 1,0.2799521688857099,0.017069735338069186,0.8650998688947181
LITAF,lipopolysaccharide induced TNF factor,-0.20382687668494073,0.58829552106436,0.9088481304078896
SNORA41///EEF1B2,"small nucleolar RNA, H/ACA box 41///eukaryotic translation elongation factor 1 beta 2",-0.10445628552089199,0.432824804061565,0.8751640595170093
LITAF,lipopolysaccharide induced TNF factor,-0.19802297558702975,0.6237756191781683,0.9165576468490989
PRKCSH,protein kinase C substrate 80K-H,0.10111435535080127,0.49371462236325003,0.8858232566758767
GOT2,glutamic-oxaloacetic transaminase 2,0.06477261187874439,0.6097963370564298,0.9128450488989713
LOC101929368///FKBP1A,uncharacterized LOC101929368///FK506 binding protein 1A,0.03324950434999441,0.7677400123401977,0.9530538886804787
ACADVL,"acyl-CoA dehydrogenase, very long chain",0.026161012639240398,0.8236392242012811,0.9670060338249727
SKP1,S-phase kinase-associated protein 1,0.10461740826278777,0.21731659582633994,0.8650998688947181
MAPRE1,microtubule associated protein RP/EB family member 1,-0.1564036334552177,0.2644140287204074,0.8650998688947181
MAPRE1,microtubule associated protein RP/EB family member 1,-0.1832345892860945,0.17352112102582176,0.8650998688947181
OS9,"OS9, endoplasmic reticulum lectin",0.062189239319146834,0.7430932308288687,0.9473263266896985
SNORD32A///SNORD33///SNORD34///SNORD35A///RPL13A,"small nucleolar RNA, C/D box 32A///small nucleolar RNA, C/D box 33///small nucleolar RNA, C/D box 34///small nucleolar RNA, C/D box 35A///ribosomal protein L13a",-0.06413448602102255,0.7731680950939488,0.9535835021735867
RPL13AP5///SNORD32A///SNORD33///SNORD34///SNORD35A///RPL13A,"ribosomal protein L13a pseudogene 5///small nucleolar RNA, C/D box 32A///small nucleolar RNA, C/D box 33///small nucleolar RNA, C/D box 34///small nucleolar RNA, C/D box 35A///ribosomal protein L13a",-0.0788941569128809,0.5125311665684384,0.8884220078621254
RPL7,ribosomal protein L7,-0.08823275841820752,0.15794652599702536,0.8650998688947181
SKP1,S-phase kinase-associated protein 1,0.07650909305899613,0.4484972755763854,0.8770515641456844
SKP1,S-phase kinase-associated protein 1,0.09912454903362632,0.6212867724037843,0.9151429196171377
ACTR1A,"ARP1 actin-related protein 1 homolog A, centractin alpha",-0.008384303619444734,0.9218384681849044,0.9870869169098981
ACTR1A,"ARP1 actin-related protein 1 homolog A, centractin alpha",0.0062116937016712895,0.9369217291855301,0.9890482562072289
CAPRIN1,cell cycle associated protein 1,-0.2998930167012999,0.2079552335235326,0.8650998688947181
CAPRIN1,cell cycle associated protein 1,-0.1324226014346184,0.287014717265026,0.8650998688947181
SNORA70///RPL10,"small nucleolar RNA, H/ACA box 70///ribosomal protein L10",-0.13558184125916553,0.6173359100030782,0.9147190441255864
SNORA70///RPL10,"small nucleolar RNA, H/ACA box 70///ribosomal protein L10",0.0029703408316169443,0.9764055902039088,0.9959060821675294
PPP1CC,protein phosphatase 1 catalytic subunit gamma,0.024266649856220877,0.8528903292645741,0.9753235649280588
ACTR2,ARP2 actin related protein 2 homolog,-0.3003764408875396,0.04040823828647742,0.8650998688947181
ACTR2,ARP2 actin related protein 2 homolog,0.04780227422557409,0.8195064872926803,0.9656011212733546
ACTR2,ARP2 actin related protein 2 homolog,-0.05527196939597046,0.7667714319611755,0.9530538886804787
PTP4A1,"protein tyrosine phosphatase type IVA, member 1",-0.4777909771733598,0.048122331572468535,0.8650998688947181
PTP4A1,"protein tyrosine phosphatase type IVA, member 1",-0.4191005004519299,0.177743835270756,0.8650998688947181
PTP4A1,"protein tyrosine phosphatase type IVA, member 1",-0.2312975419711207,0.2607710243526081,0.8650998688947181
PTP4A1,"protein tyrosine phosphatase type IVA, member 1",-0.3914065345820969,0.12876956693996086,0.8650998688947181
