probe_id,GSM114834,GSM114840,GSM114841,GSM114842,GSM114843,GSM114844,GSM114845,GSM114846,GSM114847,GSM114848,GSM114849,GSM114850,GSM114851,GSM114852,GSM114853,GSM114854,GSM114855,gene_symbol,gene_title
200004_at,1451.3,1364.2,1330.7,1584.9,1500.6,1483.2,1367.6,1446.1,1536.0,1401.5,1315.3,1326.1,1118.7,1269.8,1289.7,1276.7,1235.2,EIF4G2,eukaryotic translation initiation factor 4 gamma 2
200005_at,571.9,586.4,671.8,535.3,428.4,458.8,336.9,430.1,329.7,338.3,580.8,453.3,533.1,550.4,502.7,437.6,324.0,EIF3D,eukaryotic translation initiation factor 3 subunit D
200006_at,1739.5,1531.4,1326.1,1698.3,1281.7,1356.6,950.2,1289.9,1379.1,1373.5,1268.5,1268.1,1648.7,1371.6,1490.8,1309.9,1132.9,PARK7,Parkinsonism associated deglycase
200007_at,1252.7,1240.1,1375.4,1251.6,1098.0,1128.7,982.2,1052.6,1007.7,1077.8,1308.0,1066.8,1386.9,1097.4,967.9,961.1,955.1,SRP14,signal recognition particle 14
200008_s_at,506.6,457.2,701.8,430.0,492.0,523.5,410.3,438.0,408.0,394.7,529.3,373.2,491.1,438.5,497.1,363.9,315.1,GDI2,GDP dissociation inhibitor 2
200009_at,1082.5,1016.3,1134.3,861.7,694.1,837.1,649.3,806.0,736.4,731.8,862.7,851.3,1020.3,882.5,779.6,738.0,681.4,GDI2,GDP dissociation inhibitor 2
200010_at,2324.4,1973.6,2174.9,2276.3,2270.0,2498.9,1622.6,2139.5,1996.7,1947.7,1819.2,2043.5,2397.8,2401.0,1817.1,2113.6,1943.7,RPL11,ribosomal protein L11
200011_s_at,230.2,395.3,343.1,332.8,348.5,380.1,247.6,340.8,366.9,301.6,324.4,411.9,392.5,438.9,467.7,415.4,515.2,ARF3,ADP ribosylation factor 3
200012_x_at,2198.6,1953.9,2067.9,2270.8,1989.7,2202.7,1646.4,2049.5,1751.5,1732.7,2198.7,1930.7,1949.5,2282.2,1794.2,1787.0,1879.3,RPL21P28///SNORA27///SNORD102///RPL21,"ribosomal protein L21 pseudogene 28///small nucleolar RNA, H/ACA box 27///small nucleolar RNA, C/D box 102///ribosomal protein L21"
200013_at,2090.8,1938.1,2008.2,1846.6,1661.6,1691.8,1582.1,1670.0,1124.9,1138.9,1717.2,1591.9,2261.5,1698.8,1226.4,1173.4,1097.6,RPL24,ribosomal protein L24
200014_s_at,412.0,389.9,372.3,339.6,380.7,361.6,384.9,443.1,297.1,372.9,326.7,263.2,202.2,269.8,266.6,302.1,313.5,HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2)
200015_s_at,1125.6,945.3,781.3,951.5,940.7,1129.1,723.4,784.5,907.4,1005.3,883.1,727.4,927.5,772.1,891.4,787.1,616.8,SEPT2,septin 2
200016_x_at,2333.7,2050.6,2422.0,2177.4,1881.2,2016.5,2213.2,2446.2,1511.9,1735.0,2078.9,1906.8,1932.2,1992.2,1786.8,1620.9,1809.7,HNRNPA1P10///HNRNPA1,heterogeneous nuclear ribonucleoprotein A1 pseudogene 10///heterogeneous nuclear ribonucleoprotein A1
200017_at,2588.8,2502.5,2564.1,2762.6,2711.8,3048.9,1810.7,2504.0,1427.0,2099.7,2444.7,2109.3,2607.5,2456.8,2024.5,1970.8,1737.8,RPS27A,ribosomal protein S27a
200018_at,2794.1,2487.3,2811.4,2983.9,2558.8,2727.4,1884.8,2531.7,2237.1,2436.6,2396.7,2376.1,2336.0,2670.2,2396.7,2376.7,1805.0,LOC100508408///SNORD14B///RPS13,"uncharacterized LOC100508408///small nucleolar RNA, C/D box 14B///ribosomal protein S13"
200019_s_at,2143.1,1647.6,1869.7,1643.3,1739.9,1793.5,1544.7,1418.7,1260.0,1394.9,1733.4,1272.5,1939.2,1626.9,1329.5,1260.5,1173.4,FAU,"FAU, ubiquitin like and ribosomal protein S30 fusion"
200020_at,338.7,392.9,419.0,387.4,232.8,319.5,371.0,376.9,382.1,345.2,294.4,304.5,324.4,342.4,325.8,282.2,281.7,TARDBP,TAR DNA binding protein
200021_at,2289.0,2018.7,2942.8,2373.4,1672.5,1903.7,2693.1,2752.3,2922.4,2003.1,2034.6,2407.3,2136.0,2652.8,2449.1,2232.1,3409.5,CFL1,cofilin 1
200022_at,2119.1,1763.3,2335.4,2316.0,1996.6,1700.4,1760.6,1957.8,1157.7,1411.3,1993.8,1593.4,1528.9,1562.2,1130.4,1123.8,1057.7,RPL18,ribosomal protein L18
200023_s_at,821.4,738.8,906.1,867.6,715.5,787.7,640.8,662.8,571.8,532.6,890.7,686.5,722.4,721.0,698.0,669.2,486.7,EIF3F,eukaryotic translation initiation factor 3 subunit F
200024_at,2048.7,1901.2,2178.6,1835.1,1668.4,1780.4,1666.3,1684.2,1281.2,1138.8,1969.4,1325.2,1998.2,2066.9,1628.1,1340.1,1189.5,RPS5,ribosomal protein S5
200025_s_at,2589.5,2457.9,2622.0,2785.1,2450.5,2734.9,2202.8,2321.1,2057.6,2405.9,2536.2,2195.8,2406.0,2370.6,2069.2,2170.1,2276.7,RPL27,ribosomal protein L27
200026_at,3506.0,3295.1,3369.7,3697.9,2480.9,2443.6,2755.3,3069.0,1816.7,1849.2,2762.2,2942.5,3224.1,3345.5,2582.1,3032.7,1609.9,RPL34,ribosomal protein L34
200027_at,673.9,560.0,566.1,631.3,371.1,497.7,382.2,461.4,526.5,520.0,508.3,530.6,421.9,627.2,616.6,557.6,449.0,NARS,asparaginyl-tRNA synthetase
200028_s_at,497.1,604.4,485.6,504.8,395.6,531.7,564.7,535.8,582.0,490.4,556.5,830.9,537.2,777.0,939.9,632.5,571.8,STARD7,StAR related lipid transfer domain containing 7
200029_at,2259.4,1831.5,2406.8,2209.6,1859.8,2139.3,1834.3,1871.9,1538.5,1597.8,2195.2,1791.4,2068.1,2175.1,1775.0,1706.6,1715.6,RPL19,ribosomal protein L19
200030_s_at,1490.1,1344.4,1398.7,1504.8,1164.2,1629.5,1338.7,1425.9,1792.7,1039.9,1541.8,1478.6,1309.7,1615.2,1562.7,1495.1,1619.7,SLC25A3,solute carrier family 25 member 3
200031_s_at,3584.3,2897.3,3957.4,3692.7,3015.3,3186.0,2945.3,3021.6,2373.1,2548.6,3356.0,2519.0,3322.7,2918.9,2461.9,2564.7,2511.1,SNORD35B///RPS11,"small nucleolar RNA, C/D box 35B///ribosomal protein S11"
200032_s_at,3804.5,3209.3,3664.1,3762.0,3291.5,3552.5,3215.8,3458.0,3342.8,3162.2,3169.7,2980.0,3667.3,3345.5,2734.6,3142.9,2933.7,RPL9,ribosomal protein L9
200033_at,1155.7,1080.8,1292.0,1292.0,1730.9,1254.0,1533.8,1880.4,1749.3,1318.1,1308.1,1350.2,1213.2,1078.7,1061.5,1261.6,1495.2,MIR5047///MIR3064///DDX5,microRNA 5047///microRNA 3064///DEAD-box helicase 5
200034_s_at,1961.9,1714.2,2106.0,2018.8,1695.8,1875.9,1478.2,1663.0,1414.6,1445.7,2157.6,1644.2,1899.7,1603.1,1398.9,1496.9,1308.9,RPL6,ribosomal protein L6
200035_at,127.2,126.4,133.2,98.4,115.3,190.0,111.1,83.5,124.9,150.4,170.6,123.4,148.2,170.0,171.7,143.8,147.2,CTDNEP1,CTD nuclear envelope phosphatase 1
200036_s_at,1759.6,1357.4,1928.5,1550.4,1407.4,1559.7,1237.9,1428.6,909.3,1088.7,1632.2,1183.3,1658.5,1278.1,1154.5,991.7,957.0,RPL10A,ribosomal protein L10a
200037_s_at,422.4,489.3,556.5,435.0,441.1,365.3,338.8,304.3,220.2,449.1,463.5,416.3,395.6,417.1,423.3,348.1,424.2,CBX3,chromobox 3
200038_s_at,2517.5,2234.1,2911.9,2456.2,2168.8,2260.9,2023.0,2068.6,1611.0,1760.4,2406.5,2048.0,2304.9,2220.9,1721.1,1799.6,1805.9,RPL17-C18orf32///SNORD58C///C18orf32///SNORD58A///SNORD58B///RPL17,"RPL17-C18orf32 readthrough///small nucleolar RNA, C/D box 58C///chromosome 18 open reading frame 32///small nucleolar RNA, C/D box 58A///small nucleolar RNA, C/D box 58B///ribosomal protein L17"
200039_s_at,305.1,295.3,296.5,302.4,250.2,280.7,319.8,255.1,275.0,254.6,256.1,355.1,362.2,307.6,340.5,253.5,305.2,PSMB2,proteasome subunit beta 2
200040_at,545.4,509.9,422.6,449.6,354.4,497.6,297.1,446.6,447.4,462.9,524.7,452.3,472.4,466.7,592.5,425.4,414.9,KHDRBS1,"KH RNA binding domain containing, signal transduction associated 1"
200041_s_at,691.9,657.7,873.4,754.3,612.8,724.8,552.1,775.9,752.5,816.9,882.9,902.0,745.8,883.8,612.3,801.9,674.6,ATP6V1G2-DDX39B///SNORD84///DDX39B,"ATP6V1G2-DDX39B readthrough (NMD candidate)///small nucleolar RNA, C/D box 84///DEAD-box helicase 39B"
200042_at,251.7,191.0,307.3,291.1,179.6,236.2,279.7,177.4,175.9,237.9,212.1,188.6,168.1,217.1,176.6,161.7,157.3,RTCB,"RNA 2',3'-cyclic phosphate and 5'-OH ligase"
200043_at,906.9,927.5,830.0,992.1,617.0,745.1,521.9,698.1,639.5,792.1,875.0,852.1,838.0,910.2,809.3,762.0,789.1,ERH,enhancer of rudimentary homolog (Drosophila)
200044_at,317.3,321.5,313.8,289.5,262.5,283.6,211.6,298.7,219.6,281.5,308.4,259.6,328.5,283.9,263.8,243.4,274.4,GATC///SRSF9,glutamyl-tRNA amidotransferase subunit C///serine and arginine rich splicing factor 9
200045_at,192.1,211.2,188.0,192.3,197.7,185.3,365.6,317.6,273.2,186.9,209.5,218.3,193.0,208.5,240.9,239.3,281.4,ABCF1,ATP binding cassette subfamily F member 1
200046_at,647.5,674.4,703.8,730.5,448.1,610.8,480.5,541.6,595.8,487.5,551.3,578.3,677.3,739.4,640.1,546.3,522.7,DAD1,defender against cell death 1
200047_s_at,429.3,404.5,375.6,491.8,326.6,416.5,368.0,380.2,401.5,426.2,532.0,379.9,313.5,384.0,348.5,430.2,310.6,YY1,YY1 transcription factor
200048_s_at,687.7,570.5,621.2,568.2,521.2,583.8,759.8,534.0,744.4,529.3,608.4,510.8,614.0,739.1,553.5,494.0,493.9,JTB,jumping translocation breakpoint
200049_at,108.6,155.2,141.4,162.6,155.4,166.0,129.1,121.4,101.2,169.8,143.6,170.9,129.0,195.5,207.2,200.2,157.9,KAT7,lysine acetyltransferase 7
200050_at,204.0,191.2,200.5,162.7,148.9,169.2,125.2,137.1,152.2,172.2,170.8,169.4,173.6,162.6,110.7,128.0,137.8,ZNF146,zinc finger protein 146
200051_at,72.3,55.2,60.8,71.9,63.1,51.1,53.2,54.7,59.8,63.4,76.2,74.2,76.5,66.5,67.2,63.1,76.1,SART1,squamous cell carcinoma antigen recognized by T-cells 1
200052_s_at,276.4,218.5,253.9,198.6,196.4,226.9,290.8,317.5,280.5,163.3,239.4,178.7,220.6,189.4,191.8,179.7,216.4,ILF2,interleukin enhancer binding factor 2
200053_at,196.9,180.6,217.5,155.6,218.5,270.0,255.3,184.1,171.8,192.2,201.3,227.1,219.0,219.0,248.2,201.9,207.4,SPAG7,sperm associated antigen 7
200054_at,59.2,47.7,36.1,56.7,61.8,57.9,95.2,91.4,84.1,52.3,61.2,51.8,71.7,59.0,70.2,64.4,97.7,ZPR1,ZPR1 zinc finger
200055_at,334.5,284.5,263.8,308.8,361.4,317.1,230.3,254.9,442.5,283.4,339.9,405.7,304.2,404.3,475.5,372.1,471.6,TAF10,TATA-box binding protein associated factor 10
200056_s_at,143.1,141.7,96.1,128.5,95.4,112.8,83.4,111.9,97.1,126.2,126.7,95.4,45.3,108.7,104.2,95.2,79.7,C1D,C1D nuclear receptor corepressor
200057_s_at,814.6,842.8,1016.0,804.3,715.0,740.9,791.1,812.2,740.4,763.5,876.0,1076.4,913.1,1068.3,951.8,917.8,878.4,NONO,"non-POU domain containing, octamer-binding"
200058_s_at,302.1,302.8,315.3,328.7,286.4,287.8,245.2,253.2,187.4,262.4,362.0,315.0,365.8,283.5,233.0,245.3,246.8,LOC101929240///SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase pseudogene///small nuclear ribonucleoprotein U5 subunit 200
200059_s_at,2166.3,1661.7,1565.8,2165.3,1815.1,2171.2,1486.9,1750.0,1847.3,1511.0,1573.2,1945.5,1675.4,1636.4,1639.9,1924.6,2276.8,RHOA,ras homolog family member A
200060_s_at,364.0,398.8,464.7,420.8,383.4,533.6,495.1,493.7,558.8,651.5,643.2,574.9,370.0,503.3,514.5,613.0,617.8,RNPS1,RNA binding protein with serine rich domain 1
200061_s_at,3188.3,2842.2,3240.9,3101.1,2696.6,2713.1,2641.0,2707.3,2318.0,2392.1,2642.3,2525.3,2936.7,2941.9,2478.1,2392.4,2442.2,RPS24,ribosomal protein S24
200062_s_at,3504.0,3301.3,3683.3,3728.0,3211.2,3205.4,2546.6,3165.2,2807.0,2773.2,3346.1,2849.3,3080.4,3292.6,3122.2,2924.8,2300.5,RPL30,ribosomal protein L30
200063_s_at,1601.3,1515.8,1686.0,1723.5,1452.1,1310.2,1367.8,1589.3,1282.2,1369.4,1517.5,1465.1,1499.1,1662.8,1451.2,1537.3,1313.9,NPM1,nucleophosmin
200064_at,1519.8,1317.9,1441.7,1273.8,1426.9,1607.9,1522.9,1690.7,1656.6,1237.5,1497.2,1401.3,1257.6,1791.2,1892.0,1904.6,1737.8,HSP90AB1,heat shock protein 90 alpha family class B member 1
200065_s_at,852.9,1041.7,1065.1,822.2,658.7,953.7,1108.3,1158.0,1179.0,832.3,976.4,1081.6,1126.4,1107.2,1211.2,1073.8,1246.1,MIR3620///ARF1,microRNA 3620///ADP ribosylation factor 1
200066_at,254.4,218.8,201.1,228.9,151.4,184.5,160.0,165.0,142.6,184.6,200.8,253.2,264.9,205.9,205.1,216.6,201.3,IK,"IK cytokine, down-regulator of HLA II"
200067_x_at,706.7,722.1,584.1,689.2,403.2,615.7,546.9,627.2,688.2,671.5,658.0,793.9,580.2,926.0,1003.9,837.0,732.7,SNX3,sorting nexin 3
200068_s_at,1002.6,1003.3,998.9,1044.6,742.1,997.3,892.2,971.8,986.5,938.0,884.8,1145.0,1080.5,1333.6,1351.8,1364.9,1227.9,CANX,calnexin
200069_at,65.9,90.1,90.5,77.4,58.9,58.2,57.8,85.4,61.3,83.9,103.2,89.1,94.2,93.7,72.8,101.8,82.1,SART3,squamous cell carcinoma antigen recognized by T-cells 3
200070_at,94.6,108.6,101.7,175.4,103.5,144.7,78.3,83.5,113.6,121.7,128.3,102.1,115.5,120.9,129.3,116.3,58.4,CNPPD1,cyclin Pas1/PHO80 domain containing 1
200071_at,225.8,199.6,162.7,203.0,202.8,189.6,173.3,238.1,209.9,204.2,172.4,237.7,141.0,212.9,215.1,245.6,196.6,SMNDC1,survival motor neuron domain containing 1
200072_s_at,336.5,350.4,309.9,290.0,275.2,280.2,509.7,460.0,335.0,230.7,278.3,273.3,396.0,252.0,188.4,196.9,315.9,HNRNPM,heterogeneous nuclear ribonucleoprotein M
200073_s_at,421.3,321.5,393.3,397.2,271.5,275.0,363.9,376.3,277.2,295.0,420.6,299.7,434.1,327.2,287.0,332.5,267.5,HNRNPD,heterogeneous nuclear ribonucleoprotein D
200074_s_at,1259.4,1260.8,1319.5,1021.9,1090.7,1003.6,836.3,1025.2,731.8,774.8,1216.0,866.7,1200.1,1139.8,914.3,909.6,763.0,RPL14,ribosomal protein L14
200075_s_at,324.5,313.5,327.2,310.1,324.1,362.9,196.9,232.4,282.0,191.1,333.7,268.1,295.6,265.2,254.2,212.5,222.0,GUK1,guanylate kinase 1
200076_s_at,128.7,146.0,155.1,147.4,111.9,133.3,166.2,110.6,120.8,132.6,156.9,122.6,136.7,154.3,148.8,102.9,121.1,KXD1,KxDL motif containing 1
200077_s_at,1874.4,1736.3,1612.5,1819.7,1590.9,1915.1,1585.7,1708.5,1808.4,1600.5,1744.8,1440.6,1644.7,1678.0,1671.1,1539.6,1852.7,OAZ1,ornithine decarboxylase antizyme 1
200078_s_at,314.5,322.8,340.7,304.8,360.2,267.2,284.5,312.7,270.9,262.6,276.5,205.1,249.4,251.0,219.2,213.7,255.4,ATP6V0B,ATPase H+ transporting V0 subunit b
200079_s_at,464.5,456.1,434.6,409.6,344.9,421.4,349.7,362.6,316.9,298.1,457.7,383.5,501.8,439.3,458.9,417.6,351.2,KARS,lysyl-tRNA synthetase
200080_s_at,1252.5,1098.6,1281.9,1373.2,2368.9,2019.6,1073.4,1215.1,1459.7,1470.3,1559.7,1278.8,1210.2,1331.0,1230.3,1352.3,1280.4,H3F3AP4///H3F3B///H3F3A,"H3 histone, family 3A, pseudogene 4///H3 histone, family 3B///H3 histone, family 3A"
200081_s_at,3042.4,2377.6,2893.2,2734.0,2552.8,2456.8,2511.4,2390.7,1845.2,2107.9,2715.2,1978.3,2854.6,2219.3,1799.6,1720.1,1593.1,RPS6,ribosomal protein S6
200082_s_at,2125.4,1803.8,2035.7,1924.7,1755.3,1606.6,1412.6,1743.8,1316.5,1411.0,1889.8,1553.6,1996.2,1769.3,1509.6,1412.1,1348.3,RPS7,ribosomal protein S7
200083_at,313.3,288.7,403.2,356.1,340.5,366.0,241.0,299.1,293.2,419.1,340.5,308.6,291.3,363.4,303.1,309.0,337.4,USP22,ubiquitin specific peptidase 22
200084_at,674.0,573.7,652.8,624.5,427.6,563.2,449.2,540.6,525.3,522.7,681.5,620.9,454.2,748.9,701.2,664.0,441.0,C11orf58,chromosome 11 open reading frame 58
200085_s_at,485.5,349.4,376.0,386.0,275.3,222.3,219.9,246.3,204.7,342.2,288.6,185.7,316.4,233.4,224.0,260.4,240.8,TCEB2,transcription elongation factor B subunit 2
200086_s_at,825.1,674.8,496.5,727.6,481.2,774.0,342.7,479.9,651.8,464.6,584.6,510.4,675.4,546.2,686.8,551.5,441.6,COX4I1,cytochrome c oxidase subunit 4I1
200087_s_at,937.1,812.5,907.1,933.2,681.8,874.5,574.4,772.1,805.3,850.1,851.6,739.3,699.7,794.7,791.2,715.5,656.5,TMED2,transmembrane p24 trafficking protein 2
200088_x_at,3150.0,2724.3,3688.6,3132.6,2337.9,2285.8,2270.2,2325.5,1986.2,2383.9,3078.9,2447.7,2562.0,2700.5,2329.0,1955.9,2043.7,NBEAL1///RPL12,neurobeachin like 1///ribosomal protein L12
200089_s_at,1571.0,1641.6,2113.0,1748.1,1637.7,1477.9,1244.1,1687.7,1210.1,1517.8,1519.3,1321.3,1677.3,1346.7,1302.0,1276.1,791.8,SNORD18C///SNORD18B///SNORD18A///SNORD16///RPL4,"small nucleolar RNA, C/D box 18C///small nucleolar RNA, C/D box 18B///small nucleolar RNA, C/D box 18A///small nucleolar RNA, C/D box 16///ribosomal protein L4"
200090_at,668.4,587.7,625.7,696.7,362.0,479.1,325.0,404.7,559.9,533.2,518.3,479.2,566.0,591.8,559.5,532.5,402.6,FNTA,"farnesyltransferase, CAAX box, alpha"
200091_s_at,1760.8,1379.5,1345.9,1897.2,1628.8,1776.1,1248.2,1413.4,1133.1,1502.0,1811.0,1218.6,1580.9,1394.5,1123.0,1322.6,1005.9,RPS25,ribosomal protein S25
200092_s_at,2652.9,2297.9,2772.2,2590.2,2437.2,2235.5,2109.5,2259.9,1839.1,2199.4,2517.3,1888.1,2368.6,2276.7,1999.8,1886.8,1666.5,RPL37,ribosomal protein L37
200093_s_at,512.9,380.6,342.4,434.1,352.9,320.5,252.2,329.4,307.6,298.1,405.9,321.9,393.7,335.3,300.4,308.1,287.0,HINT1,histidine triad nucleotide binding protein 1
200094_s_at,1426.2,1308.4,1570.9,1365.1,1578.2,1746.9,977.7,1317.1,1235.7,1280.6,1832.3,1621.3,1605.0,1979.6,1579.9,1692.1,1332.1,EEF2,eukaryotic translation elongation factor 2
200095_x_at,3911.3,3097.3,3811.3,4318.6,3761.0,3484.2,2914.4,3379.9,2694.9,3058.5,3324.7,3078.5,3699.9,3230.2,2522.5,2592.8,2488.1,RPS10,ribosomal protein S10
200096_s_at,906.1,900.5,765.7,833.9,668.6,699.2,466.2,673.6,817.3,616.7,615.0,569.6,823.9,669.4,685.1,685.9,592.4,ATP6V0E1,ATPase H+ transporting V0 subunit e1
200097_s_at,641.0,711.6,817.5,750.3,755.6,689.6,653.6,857.0,858.3,748.0,757.0,829.5,711.1,714.5,718.6,639.3,835.5,HNRNPK,heterogeneous nuclear ribonucleoprotein K
200098_s_at,476.2,440.0,398.5,483.6,365.1,445.9,315.0,318.8,266.3,391.2,371.2,354.4,406.0,340.8,292.4,275.1,337.1,ANAPC5,anaphase promoting complex subunit 5
200099_s_at,3361.3,2883.0,3643.3,3105.8,3079.4,3171.1,2493.4,2897.2,2576.0,2696.6,3238.5,2591.1,2517.5,2743.4,2256.0,2214.0,2213.1,SNORD73A///RPS3A,"small nucleolar RNA, C/D box 73A///ribosomal protein S3A"
200593_s_at,253.2,266.4,248.4,262.2,247.6,219.5,360.8,393.1,258.3,178.9,249.7,223.6,320.4,225.8,198.8,187.8,323.1,HNRNPU,heterogeneous nuclear ribonucleoprotein U
200594_x_at,702.9,807.9,796.2,827.8,709.3,751.2,818.2,847.8,725.2,710.8,814.7,778.7,722.9,775.7,878.8,808.5,804.1,HNRNPU,heterogeneous nuclear ribonucleoprotein U
200595_s_at,370.1,309.9,307.0,406.5,347.0,394.8,315.9,358.1,510.4,407.2,422.1,350.5,281.6,296.0,327.8,341.5,284.1,EIF3A,eukaryotic translation initiation factor 3 subunit A
200596_s_at,254.3,219.6,144.3,191.9,113.9,92.1,242.3,244.5,246.9,120.5,137.6,172.2,234.9,171.1,160.7,162.9,150.9,EIF3A,eukaryotic translation initiation factor 3 subunit A
200597_at,110.7,79.3,85.9,124.1,116.5,123.0,100.4,130.0,82.0,113.6,78.0,107.0,113.0,96.1,87.3,94.3,97.1,EIF3A,eukaryotic translation initiation factor 3 subunit A
200598_s_at,455.5,366.2,355.2,300.2,251.4,352.4,271.2,331.3,273.5,192.7,394.6,206.1,410.9,245.6,299.1,202.0,205.5,MIR3652///HSP90B1,microRNA 3652///heat shock protein 90 beta family member 1
200599_s_at,1044.3,1068.0,759.5,1068.5,1095.7,1147.6,665.9,803.7,809.5,864.0,1024.8,663.1,986.6,865.9,704.9,629.6,657.9,MIR3652///HSP90B1,microRNA 3652///heat shock protein 90 beta family member 1
200600_at,871.8,878.9,624.8,829.1,825.7,914.6,735.3,989.7,923.4,886.7,866.1,818.3,675.9,826.2,914.3,747.8,906.0,MSN,moesin
200601_at,362.5,266.5,219.2,284.8,420.6,256.7,240.3,423.0,506.9,379.0,384.0,563.4,462.7,456.9,424.6,493.1,549.3,ACTN4,actinin alpha 4
