Pathway,NES,FDR_q_val,Gene
Inflammatory Response,-1.8076766658981551,0.01,PSEN1
Inflammatory Response,-1.8076766658981551,0.01,SLC11A2
Inflammatory Response,-1.8076766658981551,0.01,MET
Inflammatory Response,-1.8076766658981551,0.01,CSF1
Inflammatory Response,-1.8076766658981551,0.01,CXCL9
Inflammatory Response,-1.8076766658981551,0.01,BEST1
Inflammatory Response,-1.8076766658981551,0.01,ADORA2B
Inflammatory Response,-1.8076766658981551,0.01,CD40
Inflammatory Response,-1.8076766658981551,0.01,ATP2A2
Inflammatory Response,-1.8076766658981551,0.01,SLC7A2
Inflammatory Response,-1.8076766658981551,0.01,ACVR1B
Inflammatory Response,-1.8076766658981551,0.01,MMP14
Inflammatory Response,-1.8076766658981551,0.01,PCDH7
Inflammatory Response,-1.8076766658981551,0.01,CCL24
Inflammatory Response,-1.8076766658981551,0.01,ITGB3
Inflammatory Response,-1.8076766658981551,0.01,LIF
Inflammatory Response,-1.8076766658981551,0.01,OSMR
Inflammatory Response,-1.8076766658981551,0.01,EDN1
Inflammatory Response,-1.8076766658981551,0.01,GNAI3
Inflammatory Response,-1.8076766658981551,0.01,ADGRE1
Inflammatory Response,-1.8076766658981551,0.01,GNA15
Inflammatory Response,-1.8076766658981551,0.01,IL1R1
Inflammatory Response,-1.8076766658981551,0.01,PVR
Inflammatory Response,-1.8076766658981551,0.01,INHBA
Inflammatory Response,-1.8076766658981551,0.01,SLAMF1
Inflammatory Response,-1.8076766658981551,0.01,HRH1
Inflammatory Response,-1.8076766658981551,0.01,BDKRB1
Inflammatory Response,-1.8076766658981551,0.01,SPHK1
Inflammatory Response,-1.8076766658981551,0.01,ICOSLG
Inflammatory Response,-1.8076766658981551,0.01,NOD2
Inflammatory Response,-1.8076766658981551,0.01,TNFAIP6
Inflammatory Response,-1.8076766658981551,0.01,ITGB8
Inflammatory Response,-1.8076766658981551,0.01,SLC7A1
Inflammatory Response,-1.8076766658981551,0.01,LPAR1
Inflammatory Response,-1.8076766658981551,0.01,CCL2
Inflammatory Response,-1.8076766658981551,0.01,CXCL10
Inflammatory Response,-1.8076766658981551,0.01,HBEGF
Inflammatory Response,-1.8076766658981551,0.01,MEP1A
Inflammatory Response,-1.8076766658981551,0.01,ICAM1
Inflammatory Response,-1.8076766658981551,0.01,PTGER4
Inflammatory Response,-1.8076766658981551,0.01,CCL7
Inflammatory Response,-1.8076766658981551,0.01,CHST2
Inflammatory Response,-1.8076766658981551,0.01,RIPK2
Inflammatory Response,-1.8076766658981551,0.01,TACR1
Inflammatory Response,-1.8076766658981551,0.01,GCH1
Inflammatory Response,-1.8076766658981551,0.01,NFKB1
Inflammatory Response,-1.8076766658981551,0.01,PDPN
Inflammatory Response,-1.8076766658981551,0.01,FZD5
Inflammatory Response,-1.8076766658981551,0.01,OLR1
Inflammatory Response,-1.8076766658981551,0.01,KCNA3
Inflammatory Response,-1.8076766658981551,0.01,LDLR
Inflammatory Response,-1.8076766658981551,0.01,PLAUR
Inflammatory Response,-1.8076766658981551,0.01,IL4R
Inflammatory Response,-1.8076766658981551,0.01,PDE4B
Inflammatory Response,-1.8076766658981551,0.01,CD14
Inflammatory Response,-1.8076766658981551,0.01,IL1B
Inflammatory Response,-1.8076766658981551,0.01,TNFRSF9
Inflammatory Response,-1.8076766658981551,0.01,OSM
Inflammatory Response,-1.8076766658981551,0.01,HAS2
Inflammatory Response,-1.8076766658981551,0.01,SELE
Inflammatory Response,-1.8076766658981551,0.01,TLR2
Inflammatory Response,-1.8076766658981551,0.01,CXCL6
Inflammatory Response,-1.8076766658981551,0.01,ADM
Inflammatory Response,-1.8076766658981551,0.01,IL12B
Inflammatory Response,-1.8076766658981551,0.01,SLC31A1
Inflammatory Response,-1.8076766658981551,0.01,SERPINE1
Inflammatory Response,-1.8076766658981551,0.01,P2RY2
Inflammatory Response,-1.8076766658981551,0.01,SLC1A2
Inflammatory Response,-1.8076766658981551,0.01,NLRP3
Inflammatory Response,-1.8076766658981551,0.01,CALCRL
Inflammatory Response,-1.8076766658981551,0.01,RELA
Inflammatory Response,-1.8076766658981551,0.01,CCR7
Inflammatory Response,-1.8076766658981551,0.01,LTA
Inflammatory Response,-1.8076766658981551,0.01,CXCL8
Inflammatory Response,-1.8076766658981551,0.01,ACVR2A
Inflammatory Response,-1.8076766658981551,0.01,EREG
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,ACTA2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,NOTCH2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,MATN3
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CD44
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,COPA
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CADM1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,PTHLH
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,LRRC15
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CD59
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CDH6
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,DST
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CDH2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,TPM4
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SDC1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,FBN2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,TNC
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,MMP14
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,OXTR
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,VCAN
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,LAMC2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,EDIL3
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,DKK1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,TPM1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,WIPF1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,ITGB3
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,PDLIM4
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,THBS1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,ADAM12
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,RGS4
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,TGM2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,IGFBP3
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,PVR
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,VCAM1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,THBS2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CALU
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,P3H1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,FN1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,GADD45A
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,GEM
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,INHBA
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,LOXL2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,LAMA2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,COL1A1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,MYLK
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,TNFRSF12A
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,TPM2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,PRRX1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CXCL12
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,GPC1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,BGN
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CXCL1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,LOX
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,PTX3
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CALD1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,GADD45B
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SDC4
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SNTB1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,ITGA2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SGCD
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SFRP4
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,VEGFA
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,GJA1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,PLAUR
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,ITGB1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,LAMA1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,FBLN1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,FAS
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,DCN
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,DPYSL3
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,MMP1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SLC6A8
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,COL3A1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CXCL6
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SERPINE1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,PRSS2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SPOCK1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,ID2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,FGF2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CXCL8
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,COL5A1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,COL7A1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,MMP2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SERPINE2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,FAP
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,ECM1
Fatty Acid Metabolism,1.5412554005910657,0.01,ACOX1
Fatty Acid Metabolism,1.5412554005910657,0.01,ME1
Fatty Acid Metabolism,1.5412554005910657,0.01,NBN
Fatty Acid Metabolism,1.5412554005910657,0.01,NTHL1
Fatty Acid Metabolism,1.5412554005910657,0.01,ALDH3A2
Fatty Acid Metabolism,1.5412554005910657,0.01,EHHADH
Fatty Acid Metabolism,1.5412554005910657,0.01,ALDH9A1
Fatty Acid Metabolism,1.5412554005910657,0.01,CD36
Fatty Acid Metabolism,1.5412554005910657,0.01,MDH1
Fatty Acid Metabolism,1.5412554005910657,0.01,HSDL2
Fatty Acid Metabolism,1.5412554005910657,0.01,EPHX1
Fatty Acid Metabolism,1.5412554005910657,0.01,HSP90AA1
Fatty Acid Metabolism,1.5412554005910657,0.01,AUH
Fatty Acid Metabolism,1.5412554005910657,0.01,SLC22A5
Fatty Acid Metabolism,1.5412554005910657,0.01,GRHPR
Fatty Acid Metabolism,1.5412554005910657,0.01,CRAT
Fatty Acid Metabolism,1.5412554005910657,0.01,CPT1A
Fatty Acid Metabolism,1.5412554005910657,0.01,PTPRG
Fatty Acid Metabolism,1.5412554005910657,0.01,CRYZ
Fatty Acid Metabolism,1.5412554005910657,0.01,SDHA
Fatty Acid Metabolism,1.5412554005910657,0.01,ACAA1
Fatty Acid Metabolism,1.5412554005910657,0.01,SUCLG2
Fatty Acid Metabolism,1.5412554005910657,0.01,PRDX6
Fatty Acid Metabolism,1.5412554005910657,0.01,DLD
Fatty Acid Metabolism,1.5412554005910657,0.01,CBR3
Fatty Acid Metabolism,1.5412554005910657,0.01,UROS
Fatty Acid Metabolism,1.5412554005910657,0.01,HIBCH
Fatty Acid Metabolism,1.5412554005910657,0.01,RETSAT
Fatty Acid Metabolism,1.5412554005910657,0.01,MAOA
Fatty Acid Metabolism,1.5412554005910657,0.01,PPARA
Fatty Acid Metabolism,1.5412554005910657,0.01,SERINC1
Fatty Acid Metabolism,1.5412554005910657,0.01,GAD2
Fatty Acid Metabolism,1.5412554005910657,0.01,S100A10
Fatty Acid Metabolism,1.5412554005910657,0.01,GABARAPL1
Fatty Acid Metabolism,1.5412554005910657,0.01,IDH1
Fatty Acid Metabolism,1.5412554005910657,0.01,HCCS
Fatty Acid Metabolism,1.5412554005910657,0.01,ACSL5
Fatty Acid Metabolism,1.5412554005910657,0.01,UROD
Fatty Acid Metabolism,1.5412554005910657,0.01,HSD17B10
Fatty Acid Metabolism,1.5412554005910657,0.01,CPT2
Fatty Acid Metabolism,1.5412554005910657,0.01,MDH2
Fatty Acid Metabolism,1.5412554005910657,0.01,SUCLA2
Fatty Acid Metabolism,1.5412554005910657,0.01,CPOX
Fatty Acid Metabolism,1.5412554005910657,0.01,ELOVL5
Fatty Acid Metabolism,1.5412554005910657,0.01,PDHB
Fatty Acid Metabolism,1.5412554005910657,0.01,MGLL
Fatty Acid Metabolism,1.5412554005910657,0.01,ETFDH
Fatty Acid Metabolism,1.5412554005910657,0.01,ECI2
Fatty Acid Metabolism,1.5412554005910657,0.01,CYP1A1
Fatty Acid Metabolism,1.5412554005910657,0.01,HSD17B11
Fatty Acid Metabolism,1.5412554005910657,0.01,HADH
Fatty Acid Metabolism,1.5412554005910657,0.01,SDHC
Fatty Acid Metabolism,1.5412554005910657,0.01,ACSL1
Fatty Acid Metabolism,1.5412554005910657,0.01,IDH3G
Protein Secretion,1.5938715575265758,0.01,SCRN1
Protein Secretion,1.5938715575265758,0.01,SSPN
Protein Secretion,1.5938715575265758,0.01,CLCN3
Protein Secretion,1.5938715575265758,0.01,VPS4B
Protein Secretion,1.5938715575265758,0.01,YIPF6
Protein Secretion,1.5938715575265758,0.01,RAB2A
Protein Secretion,1.5938715575265758,0.01,VAMP3
Protein Secretion,1.5938715575265758,0.01,RAB14
Protein Secretion,1.5938715575265758,0.01,RAB9A
Protein Secretion,1.5938715575265758,0.01,ATP6V1H
Protein Secretion,1.5938715575265758,0.01,VAMP7
Protein Secretion,1.5938715575265758,0.01,STX7
Protein Secretion,1.5938715575265758,0.01,CAV2
Protein Secretion,1.5938715575265758,0.01,AP3S1
Protein Secretion,1.5938715575265758,0.01,TPD52
Protein Secretion,1.5938715575265758,0.01,SCAMP1
Protein Secretion,1.5938715575265758,0.01,TOM1L1
Protein Secretion,1.5938715575265758,0.01,BET1
Protein Secretion,1.5938715575265758,0.01,COPB1
Protein Secretion,1.5938715575265758,0.01,AP3B1
Protein Secretion,1.5938715575265758,0.01,ABCA1
Protein Secretion,1.5938715575265758,0.01,USO1
Protein Secretion,1.5938715575265758,0.01,ADAM10
Protein Secretion,1.5938715575265758,0.01,ARFGEF1
Protein Secretion,1.5938715575265758,0.01,SOD1
Protein Secretion,1.5938715575265758,0.01,VAMP4
Protein Secretion,1.5938715575265758,0.01,SGMS1
Protein Secretion,1.5938715575265758,0.01,SNAP23
Protein Secretion,1.5938715575265758,0.01,KIF1B
Protein Secretion,1.5938715575265758,0.01,TMED2
Protein Secretion,1.5938715575265758,0.01,RER1
Protein Secretion,1.5938715575265758,0.01,BNIP3
Protein Secretion,1.5938715575265758,0.01,AP2S1
Protein Secretion,1.5938715575265758,0.01,TMED10
Protein Secretion,1.5938715575265758,0.01,PPT1
Protein Secretion,1.5938715575265758,0.01,CTSC
Protein Secretion,1.5938715575265758,0.01,COPE
Protein Secretion,1.5938715575265758,0.01,PAM
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL13RA1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CD44
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CRLF2
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,STAT1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,PTPN11
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CSF1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CXCL9
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,LTB
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,ACVR1B
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,ITGB3
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,OSMR
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,SOCS1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL1R1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL2RA
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,TNFRSF12A
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CXCL10
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CXCL3
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CXCL1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CCL7
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,LTBR
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,STAT3
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,DNTT
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CCR1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,ITGA4
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL4R
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,STAT2
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CD14
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL1B
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,PTPN2
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,FAS
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,TLR2
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,MAP3K8
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,MYD88
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL2RG
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,REG1A
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,TNF
