probe_id,GSM114834,GSM114840,GSM114841,GSM114842,GSM114843,GSM114844,GSM114845,GSM114846,GSM114847,GSM114848,GSM114849,GSM114850,GSM114851,GSM114852,GSM114853,GSM114854,GSM114855
1494_f_at,47.3,55.5,73.4,57.1,116.5,111.8,135.3,90.9,73.0,103.4,77.3,67.4,64.9,68.8,82.9,93.4,96.7
1598_g_at,602.9,674.8,680.2,691.0,805.1,827.8,755.4,611.0,567.8,917.0,875.1,661.2,886.4,909.3,724.3,552.0,843.9
160020_at,73.8,99.9,182.9,140.8,174.9,206.9,123.0,105.2,149.1,203.9,126.7,159.5,101.6,174.3,169.1,182.8,193.2
1729_at,83.0,135.6,86.6,106.9,119.9,98.9,82.3,66.5,111.0,108.1,56.2,76.5,143.4,89.8,116.9,115.0,103.5
1773_at,44.7,50.2,50.9,34.9,48.4,66.9,48.5,33.3,47.4,42.3,45.8,27.2,55.2,41.5,43.0,38.0,36.4
177_at,40.1,38.4,45.9,47.2,36.9,44.5,36.7,25.1,21.5,35.4,53.8,25.9,54.1,28.5,25.2,28.3,8.5
179_at,491.3,606.4,223.4,347.3,743.1,630.1,559.9,533.0,278.7,452.0,540.5,653.2,219.4,975.7,524.5,500.8,546.3
1861_at,59.6,55.8,58.6,58.8,64.8,61.8,40.5,39.6,56.3,51.7,55.9,32.5,59.9,38.8,46.7,40.8,45.6
200000_s_at,228.6,244.5,272.0,287.8,274.8,290.2,200.6,241.8,247.8,271.2,330.3,280.6,339.0,288.5,256.1,290.6,237.0
200001_at,975.8,1142.3,629.4,844.1,848.4,1021.4,739.2,805.2,1073.3,948.2,957.5,950.7,807.5,1155.4,1172.5,926.7,1033.1
200002_at,1990.9,1748.8,1712.8,1987.6,1470.7,1527.3,1465.7,1522.4,1134.0,1409.7,1635.8,1433.4,1803.1,1558.6,1288.5,1296.0,1233.6
200003_s_at,2566.8,2304.3,3004.1,2366.7,2050.0,1986.8,1957.7,2055.2,1498.6,1779.3,2166.8,1561.2,2095.5,1840.0,1447.6,1480.9,1286.9
200004_at,1451.3,1364.2,1330.7,1584.9,1500.6,1483.2,1367.6,1446.1,1536.0,1401.5,1315.3,1326.1,1118.7,1269.8,1289.7,1276.7,1235.2
200005_at,571.9,586.4,671.8,535.3,428.4,458.8,336.9,430.1,329.7,338.3,580.8,453.3,533.1,550.4,502.7,437.6,324.0
200006_at,1739.5,1531.4,1326.1,1698.3,1281.7,1356.6,950.2,1289.9,1379.1,1373.5,1268.5,1268.1,1648.7,1371.6,1490.8,1309.9,1132.9
200007_at,1252.7,1240.1,1375.4,1251.6,1098.0,1128.7,982.2,1052.6,1007.7,1077.8,1308.0,1066.8,1386.9,1097.4,967.9,961.1,955.1
200008_s_at,506.6,457.2,701.8,430.0,492.0,523.5,410.3,438.0,408.0,394.7,529.3,373.2,491.1,438.5,497.1,363.9,315.1
200009_at,1082.5,1016.3,1134.3,861.7,694.1,837.1,649.3,806.0,736.4,731.8,862.7,851.3,1020.3,882.5,779.6,738.0,681.4
200010_at,2324.4,1973.6,2174.9,2276.3,2270.0,2498.9,1622.6,2139.5,1996.7,1947.7,1819.2,2043.5,2397.8,2401.0,1817.1,2113.6,1943.7
200011_s_at,230.2,395.3,343.1,332.8,348.5,380.1,247.6,340.8,366.9,301.6,324.4,411.9,392.5,438.9,467.7,415.4,515.2
200012_x_at,2198.6,1953.9,2067.9,2270.8,1989.7,2202.7,1646.4,2049.5,1751.5,1732.7,2198.7,1930.7,1949.5,2282.2,1794.2,1787.0,1879.3
200013_at,2090.8,1938.1,2008.2,1846.6,1661.6,1691.8,1582.1,1670.0,1124.9,1138.9,1717.2,1591.9,2261.5,1698.8,1226.4,1173.4,1097.6
200014_s_at,412.0,389.9,372.3,339.6,380.7,361.6,384.9,443.1,297.1,372.9,326.7,263.2,202.2,269.8,266.6,302.1,313.5
200015_s_at,1125.6,945.3,781.3,951.5,940.7,1129.1,723.4,784.5,907.4,1005.3,883.1,727.4,927.5,772.1,891.4,787.1,616.8
200016_x_at,2333.7,2050.6,2422.0,2177.4,1881.2,2016.5,2213.2,2446.2,1511.9,1735.0,2078.9,1906.8,1932.2,1992.2,1786.8,1620.9,1809.7
200017_at,2588.8,2502.5,2564.1,2762.6,2711.8,3048.9,1810.7,2504.0,1427.0,2099.7,2444.7,2109.3,2607.5,2456.8,2024.5,1970.8,1737.8
200018_at,2794.1,2487.3,2811.4,2983.9,2558.8,2727.4,1884.8,2531.7,2237.1,2436.6,2396.7,2376.1,2336.0,2670.2,2396.7,2376.7,1805.0
200019_s_at,2143.1,1647.6,1869.7,1643.3,1739.9,1793.5,1544.7,1418.7,1260.0,1394.9,1733.4,1272.5,1939.2,1626.9,1329.5,1260.5,1173.4
200020_at,338.7,392.9,419.0,387.4,232.8,319.5,371.0,376.9,382.1,345.2,294.4,304.5,324.4,342.4,325.8,282.2,281.7
200021_at,2289.0,2018.7,2942.8,2373.4,1672.5,1903.7,2693.1,2752.3,2922.4,2003.1,2034.6,2407.3,2136.0,2652.8,2449.1,2232.1,3409.5
200022_at,2119.1,1763.3,2335.4,2316.0,1996.6,1700.4,1760.6,1957.8,1157.7,1411.3,1993.8,1593.4,1528.9,1562.2,1130.4,1123.8,1057.7
200023_s_at,821.4,738.8,906.1,867.6,715.5,787.7,640.8,662.8,571.8,532.6,890.7,686.5,722.4,721.0,698.0,669.2,486.7
200024_at,2048.7,1901.2,2178.6,1835.1,1668.4,1780.4,1666.3,1684.2,1281.2,1138.8,1969.4,1325.2,1998.2,2066.9,1628.1,1340.1,1189.5
200025_s_at,2589.5,2457.9,2622.0,2785.1,2450.5,2734.9,2202.8,2321.1,2057.6,2405.9,2536.2,2195.8,2406.0,2370.6,2069.2,2170.1,2276.7
200026_at,3506.0,3295.1,3369.7,3697.9,2480.9,2443.6,2755.3,3069.0,1816.7,1849.2,2762.2,2942.5,3224.1,3345.5,2582.1,3032.7,1609.9
200027_at,673.9,560.0,566.1,631.3,371.1,497.7,382.2,461.4,526.5,520.0,508.3,530.6,421.9,627.2,616.6,557.6,449.0
200028_s_at,497.1,604.4,485.6,504.8,395.6,531.7,564.7,535.8,582.0,490.4,556.5,830.9,537.2,777.0,939.9,632.5,571.8
200029_at,2259.4,1831.5,2406.8,2209.6,1859.8,2139.3,1834.3,1871.9,1538.5,1597.8,2195.2,1791.4,2068.1,2175.1,1775.0,1706.6,1715.6
200030_s_at,1490.1,1344.4,1398.7,1504.8,1164.2,1629.5,1338.7,1425.9,1792.7,1039.9,1541.8,1478.6,1309.7,1615.2,1562.7,1495.1,1619.7
200031_s_at,3584.3,2897.3,3957.4,3692.7,3015.3,3186.0,2945.3,3021.6,2373.1,2548.6,3356.0,2519.0,3322.7,2918.9,2461.9,2564.7,2511.1
200032_s_at,3804.5,3209.3,3664.1,3762.0,3291.5,3552.5,3215.8,3458.0,3342.8,3162.2,3169.7,2980.0,3667.3,3345.5,2734.6,3142.9,2933.7
200033_at,1155.7,1080.8,1292.0,1292.0,1730.9,1254.0,1533.8,1880.4,1749.3,1318.1,1308.1,1350.2,1213.2,1078.7,1061.5,1261.6,1495.2
200034_s_at,1961.9,1714.2,2106.0,2018.8,1695.8,1875.9,1478.2,1663.0,1414.6,1445.7,2157.6,1644.2,1899.7,1603.1,1398.9,1496.9,1308.9
200035_at,127.2,126.4,133.2,98.4,115.3,190.0,111.1,83.5,124.9,150.4,170.6,123.4,148.2,170.0,171.7,143.8,147.2
200036_s_at,1759.6,1357.4,1928.5,1550.4,1407.4,1559.7,1237.9,1428.6,909.3,1088.7,1632.2,1183.3,1658.5,1278.1,1154.5,991.7,957.0
200037_s_at,422.4,489.3,556.5,435.0,441.1,365.3,338.8,304.3,220.2,449.1,463.5,416.3,395.6,417.1,423.3,348.1,424.2
200038_s_at,2517.5,2234.1,2911.9,2456.2,2168.8,2260.9,2023.0,2068.6,1611.0,1760.4,2406.5,2048.0,2304.9,2220.9,1721.1,1799.6,1805.9
200039_s_at,305.1,295.3,296.5,302.4,250.2,280.7,319.8,255.1,275.0,254.6,256.1,355.1,362.2,307.6,340.5,253.5,305.2
200040_at,545.4,509.9,422.6,449.6,354.4,497.6,297.1,446.6,447.4,462.9,524.7,452.3,472.4,466.7,592.5,425.4,414.9
200041_s_at,691.9,657.7,873.4,754.3,612.8,724.8,552.1,775.9,752.5,816.9,882.9,902.0,745.8,883.8,612.3,801.9,674.6
200042_at,251.7,191.0,307.3,291.1,179.6,236.2,279.7,177.4,175.9,237.9,212.1,188.6,168.1,217.1,176.6,161.7,157.3
200043_at,906.9,927.5,830.0,992.1,617.0,745.1,521.9,698.1,639.5,792.1,875.0,852.1,838.0,910.2,809.3,762.0,789.1
200044_at,317.3,321.5,313.8,289.5,262.5,283.6,211.6,298.7,219.6,281.5,308.4,259.6,328.5,283.9,263.8,243.4,274.4
200045_at,192.1,211.2,188.0,192.3,197.7,185.3,365.6,317.6,273.2,186.9,209.5,218.3,193.0,208.5,240.9,239.3,281.4
200046_at,647.5,674.4,703.8,730.5,448.1,610.8,480.5,541.6,595.8,487.5,551.3,578.3,677.3,739.4,640.1,546.3,522.7
200047_s_at,429.3,404.5,375.6,491.8,326.6,416.5,368.0,380.2,401.5,426.2,532.0,379.9,313.5,384.0,348.5,430.2,310.6
200048_s_at,687.7,570.5,621.2,568.2,521.2,583.8,759.8,534.0,744.4,529.3,608.4,510.8,614.0,739.1,553.5,494.0,493.9
200049_at,108.6,155.2,141.4,162.6,155.4,166.0,129.1,121.4,101.2,169.8,143.6,170.9,129.0,195.5,207.2,200.2,157.9
200050_at,204.0,191.2,200.5,162.7,148.9,169.2,125.2,137.1,152.2,172.2,170.8,169.4,173.6,162.6,110.7,128.0,137.8
200051_at,72.3,55.2,60.8,71.9,63.1,51.1,53.2,54.7,59.8,63.4,76.2,74.2,76.5,66.5,67.2,63.1,76.1
200052_s_at,276.4,218.5,253.9,198.6,196.4,226.9,290.8,317.5,280.5,163.3,239.4,178.7,220.6,189.4,191.8,179.7,216.4
200053_at,196.9,180.6,217.5,155.6,218.5,270.0,255.3,184.1,171.8,192.2,201.3,227.1,219.0,219.0,248.2,201.9,207.4
200054_at,59.2,47.7,36.1,56.7,61.8,57.9,95.2,91.4,84.1,52.3,61.2,51.8,71.7,59.0,70.2,64.4,97.7
200055_at,334.5,284.5,263.8,308.8,361.4,317.1,230.3,254.9,442.5,283.4,339.9,405.7,304.2,404.3,475.5,372.1,471.6
200056_s_at,143.1,141.7,96.1,128.5,95.4,112.8,83.4,111.9,97.1,126.2,126.7,95.4,45.3,108.7,104.2,95.2,79.7
200057_s_at,814.6,842.8,1016.0,804.3,715.0,740.9,791.1,812.2,740.4,763.5,876.0,1076.4,913.1,1068.3,951.8,917.8,878.4
200058_s_at,302.1,302.8,315.3,328.7,286.4,287.8,245.2,253.2,187.4,262.4,362.0,315.0,365.8,283.5,233.0,245.3,246.8
200059_s_at,2166.3,1661.7,1565.8,2165.3,1815.1,2171.2,1486.9,1750.0,1847.3,1511.0,1573.2,1945.5,1675.4,1636.4,1639.9,1924.6,2276.8
200060_s_at,364.0,398.8,464.7,420.8,383.4,533.6,495.1,493.7,558.8,651.5,643.2,574.9,370.0,503.3,514.5,613.0,617.8
200061_s_at,3188.3,2842.2,3240.9,3101.1,2696.6,2713.1,2641.0,2707.3,2318.0,2392.1,2642.3,2525.3,2936.7,2941.9,2478.1,2392.4,2442.2
200062_s_at,3504.0,3301.3,3683.3,3728.0,3211.2,3205.4,2546.6,3165.2,2807.0,2773.2,3346.1,2849.3,3080.4,3292.6,3122.2,2924.8,2300.5
200063_s_at,1601.3,1515.8,1686.0,1723.5,1452.1,1310.2,1367.8,1589.3,1282.2,1369.4,1517.5,1465.1,1499.1,1662.8,1451.2,1537.3,1313.9
200064_at,1519.8,1317.9,1441.7,1273.8,1426.9,1607.9,1522.9,1690.7,1656.6,1237.5,1497.2,1401.3,1257.6,1791.2,1892.0,1904.6,1737.8
200065_s_at,852.9,1041.7,1065.1,822.2,658.7,953.7,1108.3,1158.0,1179.0,832.3,976.4,1081.6,1126.4,1107.2,1211.2,1073.8,1246.1
200066_at,254.4,218.8,201.1,228.9,151.4,184.5,160.0,165.0,142.6,184.6,200.8,253.2,264.9,205.9,205.1,216.6,201.3
200067_x_at,706.7,722.1,584.1,689.2,403.2,615.7,546.9,627.2,688.2,671.5,658.0,793.9,580.2,926.0,1003.9,837.0,732.7
200068_s_at,1002.6,1003.3,998.9,1044.6,742.1,997.3,892.2,971.8,986.5,938.0,884.8,1145.0,1080.5,1333.6,1351.8,1364.9,1227.9
200069_at,65.9,90.1,90.5,77.4,58.9,58.2,57.8,85.4,61.3,83.9,103.2,89.1,94.2,93.7,72.8,101.8,82.1
200070_at,94.6,108.6,101.7,175.4,103.5,144.7,78.3,83.5,113.6,121.7,128.3,102.1,115.5,120.9,129.3,116.3,58.4
200071_at,225.8,199.6,162.7,203.0,202.8,189.6,173.3,238.1,209.9,204.2,172.4,237.7,141.0,212.9,215.1,245.6,196.6
200072_s_at,336.5,350.4,309.9,290.0,275.2,280.2,509.7,460.0,335.0,230.7,278.3,273.3,396.0,252.0,188.4,196.9,315.9
200073_s_at,421.3,321.5,393.3,397.2,271.5,275.0,363.9,376.3,277.2,295.0,420.6,299.7,434.1,327.2,287.0,332.5,267.5
200074_s_at,1259.4,1260.8,1319.5,1021.9,1090.7,1003.6,836.3,1025.2,731.8,774.8,1216.0,866.7,1200.1,1139.8,914.3,909.6,763.0
200075_s_at,324.5,313.5,327.2,310.1,324.1,362.9,196.9,232.4,282.0,191.1,333.7,268.1,295.6,265.2,254.2,212.5,222.0
200076_s_at,128.7,146.0,155.1,147.4,111.9,133.3,166.2,110.6,120.8,132.6,156.9,122.6,136.7,154.3,148.8,102.9,121.1
200077_s_at,1874.4,1736.3,1612.5,1819.7,1590.9,1915.1,1585.7,1708.5,1808.4,1600.5,1744.8,1440.6,1644.7,1678.0,1671.1,1539.6,1852.7
200078_s_at,314.5,322.8,340.7,304.8,360.2,267.2,284.5,312.7,270.9,262.6,276.5,205.1,249.4,251.0,219.2,213.7,255.4
200079_s_at,464.5,456.1,434.6,409.6,344.9,421.4,349.7,362.6,316.9,298.1,457.7,383.5,501.8,439.3,458.9,417.6,351.2
200080_s_at,1252.5,1098.6,1281.9,1373.2,2368.9,2019.6,1073.4,1215.1,1459.7,1470.3,1559.7,1278.8,1210.2,1331.0,1230.3,1352.3,1280.4
200081_s_at,3042.4,2377.6,2893.2,2734.0,2552.8,2456.8,2511.4,2390.7,1845.2,2107.9,2715.2,1978.3,2854.6,2219.3,1799.6,1720.1,1593.1
200082_s_at,2125.4,1803.8,2035.7,1924.7,1755.3,1606.6,1412.6,1743.8,1316.5,1411.0,1889.8,1553.6,1996.2,1769.3,1509.6,1412.1,1348.3
200083_at,313.3,288.7,403.2,356.1,340.5,366.0,241.0,299.1,293.2,419.1,340.5,308.6,291.3,363.4,303.1,309.0,337.4
200084_at,674.0,573.7,652.8,624.5,427.6,563.2,449.2,540.6,525.3,522.7,681.5,620.9,454.2,748.9,701.2,664.0,441.0
200085_s_at,485.5,349.4,376.0,386.0,275.3,222.3,219.9,246.3,204.7,342.2,288.6,185.7,316.4,233.4,224.0,260.4,240.8
200086_s_at,825.1,674.8,496.5,727.6,481.2,774.0,342.7,479.9,651.8,464.6,584.6,510.4,675.4,546.2,686.8,551.5,441.6
200087_s_at,937.1,812.5,907.1,933.2,681.8,874.5,574.4,772.1,805.3,850.1,851.6,739.3,699.7,794.7,791.2,715.5,656.5
200088_x_at,3150.0,2724.3,3688.6,3132.6,2337.9,2285.8,2270.2,2325.5,1986.2,2383.9,3078.9,2447.7,2562.0,2700.5,2329.0,1955.9,2043.7
200089_s_at,1571.0,1641.6,2113.0,1748.1,1637.7,1477.9,1244.1,1687.7,1210.1,1517.8,1519.3,1321.3,1677.3,1346.7,1302.0,1276.1,791.8
200090_at,668.4,587.7,625.7,696.7,362.0,479.1,325.0,404.7,559.9,533.2,518.3,479.2,566.0,591.8,559.5,532.5,402.6
200091_s_at,1760.8,1379.5,1345.9,1897.2,1628.8,1776.1,1248.2,1413.4,1133.1,1502.0,1811.0,1218.6,1580.9,1394.5,1123.0,1322.6,1005.9
200092_s_at,2652.9,2297.9,2772.2,2590.2,2437.2,2235.5,2109.5,2259.9,1839.1,2199.4,2517.3,1888.1,2368.6,2276.7,1999.8,1886.8,1666.5
200093_s_at,512.9,380.6,342.4,434.1,352.9,320.5,252.2,329.4,307.6,298.1,405.9,321.9,393.7,335.3,300.4,308.1,287.0
200094_s_at,1426.2,1308.4,1570.9,1365.1,1578.2,1746.9,977.7,1317.1,1235.7,1280.6,1832.3,1621.3,1605.0,1979.6,1579.9,1692.1,1332.1
200095_x_at,3911.3,3097.3,3811.3,4318.6,3761.0,3484.2,2914.4,3379.9,2694.9,3058.5,3324.7,3078.5,3699.9,3230.2,2522.5,2592.8,2488.1
200096_s_at,906.1,900.5,765.7,833.9,668.6,699.2,466.2,673.6,817.3,616.7,615.0,569.6,823.9,669.4,685.1,685.9,592.4
200097_s_at,641.0,711.6,817.5,750.3,755.6,689.6,653.6,857.0,858.3,748.0,757.0,829.5,711.1,714.5,718.6,639.3,835.5
200098_s_at,476.2,440.0,398.5,483.6,365.1,445.9,315.0,318.8,266.3,391.2,371.2,354.4,406.0,340.8,292.4,275.1,337.1
200099_s_at,3361.3,2883.0,3643.3,3105.8,3079.4,3171.1,2493.4,2897.2,2576.0,2696.6,3238.5,2591.1,2517.5,2743.4,2256.0,2214.0,2213.1
200593_s_at,253.2,266.4,248.4,262.2,247.6,219.5,360.8,393.1,258.3,178.9,249.7,223.6,320.4,225.8,198.8,187.8,323.1
200594_x_at,702.9,807.9,796.2,827.8,709.3,751.2,818.2,847.8,725.2,710.8,814.7,778.7,722.9,775.7,878.8,808.5,804.1
200595_s_at,370.1,309.9,307.0,406.5,347.0,394.8,315.9,358.1,510.4,407.2,422.1,350.5,281.6,296.0,327.8,341.5,284.1
200596_s_at,254.3,219.6,144.3,191.9,113.9,92.1,242.3,244.5,246.9,120.5,137.6,172.2,234.9,171.1,160.7,162.9,150.9
200597_at,110.7,79.3,85.9,124.1,116.5,123.0,100.4,130.0,82.0,113.6,78.0,107.0,113.0,96.1,87.3,94.3,97.1
200598_s_at,455.5,366.2,355.2,300.2,251.4,352.4,271.2,331.3,273.5,192.7,394.6,206.1,410.9,245.6,299.1,202.0,205.5
200599_s_at,1044.3,1068.0,759.5,1068.5,1095.7,1147.6,665.9,803.7,809.5,864.0,1024.8,663.1,986.6,865.9,704.9,629.6,657.9
200600_at,871.8,878.9,624.8,829.1,825.7,914.6,735.3,989.7,923.4,886.7,866.1,818.3,675.9,826.2,914.3,747.8,906.0
200601_at,362.5,266.5,219.2,284.8,420.6,256.7,240.3,423.0,506.9,379.0,384.0,563.4,462.7,456.9,424.6,493.1,549.3
200602_at,289.5,309.9,353.6,389.8,265.4,297.8,262.2,232.1,187.3,381.5,343.7,229.5,289.7,222.1,247.3,313.2,266.0
200603_at,889.4,800.2,642.7,939.4,813.9,930.4,776.7,862.9,879.4,843.7,947.0,737.3,637.8,766.7,893.1,977.3,740.6
200604_s_at,299.2,248.6,303.0,200.6,277.5,264.8,349.8,348.9,250.9,198.2,360.3,125.9,340.1,168.5,191.7,192.3,177.0
200605_s_at,891.2,888.5,714.1,808.8,815.0,845.2,706.9,1042.6,944.4,750.3,856.1,792.6,838.4,982.8,1209.1,904.7,788.9
200606_at,212.4,283.1,241.7,198.9,179.4,257.0,296.5,325.9,49.6,323.8,308.6,246.0,169.6,320.1,215.7,201.2,130.9
200607_s_at,231.0,140.8,202.2,195.3,199.8,202.2,160.4,191.4,143.5,174.9,149.4,158.5,211.0,186.3,187.9,193.0,103.2
200608_s_at,378.4,377.5,343.5,420.1,373.2,350.2,197.4,299.3,203.5,389.0,439.1,314.7,353.9,355.5,320.8,372.5,222.3
200609_s_at,334.6,278.9,430.5,341.3,412.4,265.3,217.2,534.2,337.4,266.4,320.6,369.9,344.3,352.7,360.8,318.5,495.8
200610_s_at,804.9,750.9,818.5,1061.9,811.7,919.1,795.1,1053.3,1009.7,770.5,859.3,965.8,945.5,957.3,925.3,1090.8,1000.7
200611_s_at,247.4,240.5,256.7,267.6,353.9,272.8,467.5,379.7,361.8,246.7,249.3,251.1,230.9,282.2,277.0,257.9,441.4
200612_s_at,164.2,190.6,145.1,145.2,224.6,273.1,141.7,101.8,169.6,249.6,178.9,173.6,202.4,241.8,195.2,235.8,187.5
200613_at,542.1,578.5,557.6,426.2,354.4,376.2,309.3,389.7,300.8,379.4,474.2,389.0,507.0,518.7,363.2,316.6,302.3
200614_at,1402.6,1194.5,1303.8,1099.1,831.9,993.8,837.4,905.7,890.7,1000.1,1152.5,911.8,1012.6,1050.2,1025.9,877.9,1001.1
200615_s_at,129.8,129.3,123.5,150.4,150.7,170.4,167.1,119.5,120.0,153.4,174.1,147.7,152.8,141.9,134.7,164.4,137.3
200616_s_at,194.3,170.4,118.1,118.8,71.5,77.1,25.1,106.4,120.6,114.4,85.4,107.8,116.7,111.1,180.2,113.1,108.0
200617_at,204.7,200.8,294.8,272.0,207.5,282.9,254.6,203.6,453.6,353.6,294.0,278.5,332.0,266.8,302.8,270.4,296.5
200618_at,649.2,581.7,440.4,515.9,578.4,594.7,606.1,398.1,580.5,672.1,565.7,562.8,538.9,587.8,600.2,461.2,422.1
200619_at,174.3,164.0,139.0,148.0,97.7,144.1,56.9,114.6,131.4,128.4,153.0,109.3,157.7,129.3,122.8,115.0,85.0
200620_at,999.0,984.3,864.4,1010.9,668.6,708.1,619.1,745.6,821.0,640.9,809.4,776.8,859.4,892.6,865.2,757.9,679.4
200621_at,482.0,403.5,451.9,425.6,608.6,493.8,622.3,565.1,477.3,507.6,581.3,654.1,496.9,716.9,521.1,598.4,801.5
200622_x_at,154.1,165.9,166.5,156.9,172.4,185.0,169.1,142.4,154.7,147.0,162.1,142.1,175.0,155.8,157.9,134.9,152.7
200623_s_at,129.8,179.5,213.8,133.5,250.6,265.4,110.3,140.9,207.6,224.3,229.2,221.5,241.6,250.7,188.2,155.2,240.1
200624_s_at,528.2,543.8,412.5,442.3,291.4,453.1,537.3,532.7,372.4,383.6,636.9,329.2,409.4,507.3,356.2,399.3,259.8
200625_s_at,530.8,571.6,487.2,478.3,757.0,540.7,306.6,539.8,562.4,523.5,544.8,521.6,617.8,549.3,535.2,518.3,582.9
200626_s_at,660.6,676.2,790.0,638.8,631.3,643.5,443.6,611.6,468.5,640.4,634.5,587.0,604.3,573.2,416.1,494.2,562.6
200627_at,830.2,957.2,868.3,898.3,614.2,918.3,549.6,728.6,703.7,645.4,931.9,842.4,908.2,1101.6,951.8,827.8,881.5
200628_s_at,111.5,170.6,122.3,161.6,152.8,193.9,219.7,260.0,321.7,134.3,190.7,150.2,191.6,141.2,207.3,198.5,273.1
200629_at,372.7,208.8,145.6,424.8,155.5,254.5,258.6,263.6,325.9,436.3,329.8,243.6,215.4,151.1,213.1,163.0,336.7
200630_x_at,347.6,410.6,385.3,408.4,428.0,394.2,314.9,334.5,454.2,424.4,306.6,765.1,427.6,690.8,627.0,717.3,752.6
200631_s_at,489.4,452.9,592.8,473.1,385.2,414.3,405.7,423.0,320.2,393.3,487.0,413.0,395.4,431.0,358.1,368.3,378.4
200632_s_at,746.8,791.6,359.7,892.0,993.4,859.4,972.8,960.4,994.1,878.4,777.7,879.4,920.0,842.9,1084.5,929.8,960.3
200633_at,3157.9,2860.4,3036.0,3055.4,2589.9,3217.2,2840.2,2988.2,3108.8,2570.7,2739.6,2731.2,2552.7,2757.6,2797.9,2646.6,2632.1
200634_at,806.9,610.0,605.2,695.9,597.8,635.5,789.4,725.7,1159.5,474.6,848.3,638.4,614.2,669.4,864.4,518.3,1322.7
200635_s_at,143.0,231.5,79.6,265.9,169.4,217.7,142.9,170.9,161.6,173.9,222.5,259.5,145.5,206.7,256.8,243.6,168.4
200636_s_at,447.3,468.8,283.6,545.1,444.2,563.7,338.7,393.9,475.2,515.2,595.4,512.7,489.2,567.7,602.2,594.4,447.9
200637_s_at,107.9,138.8,72.6,199.6,148.3,198.3,163.6,149.0,185.2,153.9,195.8,210.1,202.1,200.4,208.7,163.2,183.0
200638_s_at,656.7,741.2,386.3,642.3,552.1,882.6,699.5,813.3,696.3,510.3,685.4,571.1,527.5,541.8,689.7,572.8,618.5
200639_s_at,601.4,797.1,443.4,751.6,657.3,725.1,514.6,770.2,679.2,597.8,680.3,802.5,823.7,903.2,975.6,923.6,904.5
200640_at,781.3,795.1,716.7,801.2,933.2,1060.9,856.5,920.3,970.5,784.2,882.3,861.7,863.3,923.2,1097.0,974.7,1236.3
200641_s_at,552.6,484.9,498.7,435.8,565.5,660.4,679.4,739.1,641.8,432.5,529.4,374.5,571.6,413.1,469.3,486.8,518.8
200642_at,1553.1,1275.9,934.6,1733.3,1220.1,1203.8,1018.9,1135.3,1276.6,1179.6,1325.0,1251.1,1473.1,1384.0,1334.3,1352.9,1431.5
200643_at,219.2,204.5,223.7,222.4,180.1,194.9,116.4,187.4,186.3,160.3,216.8,223.8,212.2,252.5,250.8,191.5,198.9
200644_at,258.9,246.4,445.2,206.9,479.3,390.4,275.2,259.1,327.8,372.7,398.3,424.6,249.4,439.5,399.0,249.2,392.6
200645_at,1192.6,1141.3,1656.7,1120.0,1057.9,1219.2,755.3,1027.5,1241.6,1006.9,1035.8,1154.6,1129.3,1427.4,1358.6,1168.3,1091.3
200646_s_at,100.3,153.0,118.5,102.9,105.9,141.3,106.9,132.0,195.2,157.8,171.1,164.1,143.4,229.8,154.7,141.0,162.6
200647_x_at,1193.0,879.1,698.5,385.9,451.4,369.2,529.3,519.0,329.2,460.1,580.7,319.5,648.7,490.6,438.5,452.8,285.4
