Pathway,NES,FDR_q_val,Gene
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,P3H1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,FN1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,GADD45A
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,GEM
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,INHBA
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,LOXL2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,LAMA2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,COL1A1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,MYLK
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,TNFRSF12A
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,TPM2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,PRRX1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CXCL12
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,GPC1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,BGN
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CXCL1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,LOX
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,PTX3
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CALD1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,GADD45B
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SDC4
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SNTB1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,ITGA2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SGCD
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SFRP4
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,VEGFA
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,GJA1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,PLAUR
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,ITGB1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,LAMA1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,FBLN1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,FAS
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,DCN
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,DPYSL3
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,MMP1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SLC6A8
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,COL3A1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CXCL6
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SERPINE1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,PRSS2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SPOCK1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,ID2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,FGF2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,CXCL8
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,COL5A1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,COL7A1
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,MMP2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,SERPINE2
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,FAP
Epithelial Mesenchymal Transition,-1.7928221189114222,0.01,ECM1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,CFLAR
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,CD44
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,CSF1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,TNC
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,SPSB1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,LIF
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,EDN1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,TNIP2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,NFKB2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,HES1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,SERPINB2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,DUSP4
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,GADD45A
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,GEM
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,INHBA
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,NFKBIE
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,SPHK1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,RCAN1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,ICOSLG
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,PANX1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,PLAU
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,TNFAIP6
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,CCL2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,JAG1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,REL
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,CXCL10
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,HBEGF
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,SNN
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,PHLDA2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,SERPINB8
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,FOSL1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,ICAM1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,PTGER4
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,CXCL3
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,CXCL1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,IER3
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,TGIF1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,GFPT2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,PTX3
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,GADD45B
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,SDC4
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,F2RL1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,RIPK2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,NR4A3
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,EHD1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,PLEK
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,FOSL2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,GCH1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,NFKB1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,OLR1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,RELB
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,PLK2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,VEGFA
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,LDLR
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,PLAUR
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,BTG3
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,FJX1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,PDE4B
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,EIF1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,KDM6B
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,RNF19B
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,BIRC3
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,IL1B
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,TSC22D1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,NINJ1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,TNFRSF9
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,DRAM1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,MCL1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,CXCL2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,TLR2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,CXCL6
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,IL12B
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,SERPINE1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,PTGS2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,PHLDA1
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,RELA
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,CD83
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,NR4A2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,ID2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,DUSP2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,SLC2A6
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,MAP3K8
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,TNF
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,DUSP5
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,NAMPT
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,KYNU
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,IFNGR2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,ETS2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,LAMB3
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,KLF10
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,TNFAIP3
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,CSF2
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,TRIP10
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,PDLIM5
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,NFIL3
TNF-alpha Signaling via NF-kB,-1.682691208529944,0.015138197089559527,B4GALT5
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL13RA1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CD44
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CRLF2
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,STAT1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,PTPN11
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CSF1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CXCL9
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,LTB
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,ACVR1B
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,ITGB3
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,OSMR
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,SOCS1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL1R1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL2RA
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,TNFRSF12A
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CXCL10
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CXCL3
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CXCL1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CCL7
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,LTBR
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,STAT3
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,DNTT
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CCR1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,ITGA4
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL4R
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,STAT2
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CD14
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL1B
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,PTPN2
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,FAS
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,TLR2
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,MAP3K8
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,MYD88
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL2RG
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,REG1A
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,TNF
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IFNGR2
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,PF4
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CSF2
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,STAM2
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,PTPN1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,PIM1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,CXCL13
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL6
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL7
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IL3RA
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,IRF1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,TGFB1
IL-6/JAK/STAT3 Signaling,-1.6721852335652014,0.011353647817169646,PIK3R5
Allograft Rejection,-1.4618961272806517,0.07266334602988574,IKBKB
Allograft Rejection,-1.4618961272806517,0.07266334602988574,EGFR
Allograft Rejection,-1.4618961272806517,0.07266334602988574,STAT1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,CSF1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,CXCL9
Allograft Rejection,-1.4618961272806517,0.07266334602988574,ETS1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,CD40
Allograft Rejection,-1.4618961272806517,0.07266334602988574,LTB
Allograft Rejection,-1.4618961272806517,0.07266334602988574,ELF4
Allograft Rejection,-1.4618961272806517,0.07266334602988574,MAP3K7
Allograft Rejection,-1.4618961272806517,0.07266334602988574,TGFB2
Allograft Rejection,-1.4618961272806517,0.07266334602988574,UBE2N
Allograft Rejection,-1.4618961272806517,0.07266334602988574,HLA-G
Allograft Rejection,-1.4618961272806517,0.07266334602988574,HLA-DOA
Allograft Rejection,-1.4618961272806517,0.07266334602988574,LIF
Allograft Rejection,-1.4618961272806517,0.07266334602988574,CCR2
Allograft Rejection,-1.4618961272806517,0.07266334602988574,IL13
Allograft Rejection,-1.4618961272806517,0.07266334602988574,CD7
Allograft Rejection,-1.4618961272806517,0.07266334602988574,SOCS1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,IL2RA
Allograft Rejection,-1.4618961272806517,0.07266334602988574,INHBA
Allograft Rejection,-1.4618961272806517,0.07266334602988574,ABCE1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,UBE2D1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,IL4
Allograft Rejection,-1.4618961272806517,0.07266334602988574,CD1D
Allograft Rejection,-1.4618961272806517,0.07266334602988574,ICOSLG
Allograft Rejection,-1.4618961272806517,0.07266334602988574,IL27RA
Allograft Rejection,-1.4618961272806517,0.07266334602988574,CCL2
Allograft Rejection,-1.4618961272806517,0.07266334602988574,HLA-A
Allograft Rejection,-1.4618961272806517,0.07266334602988574,IL12A
Allograft Rejection,-1.4618961272806517,0.07266334602988574,ICAM1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,CCL7
Allograft Rejection,-1.4618961272806517,0.07266334602988574,IL11
Allograft Rejection,-1.4618961272806517,0.07266334602988574,RIPK2
Allograft Rejection,-1.4618961272806517,0.07266334602988574,CCR1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,NPM1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,GZMB
Allograft Rejection,-1.4618961272806517,0.07266334602988574,IL4R
Allograft Rejection,-1.4618961272806517,0.07266334602988574,ITK
Allograft Rejection,-1.4618961272806517,0.07266334602988574,IL1B
Allograft Rejection,-1.4618961272806517,0.07266334602988574,CRTAM
Allograft Rejection,-1.4618961272806517,0.07266334602988574,FAS
Allograft Rejection,-1.4618961272806517,0.07266334602988574,IFNG
Allograft Rejection,-1.4618961272806517,0.07266334602988574,SOCS5
Allograft Rejection,-1.4618961272806517,0.07266334602988574,BRCA1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,IRF4
Allograft Rejection,-1.4618961272806517,0.07266334602988574,EIF5A
Allograft Rejection,-1.4618961272806517,0.07266334602988574,CD28
Allograft Rejection,-1.4618961272806517,0.07266334602988574,DYRK3
Allograft Rejection,-1.4618961272806517,0.07266334602988574,RPL3L
Allograft Rejection,-1.4618961272806517,0.07266334602988574,TLR2
Allograft Rejection,-1.4618961272806517,0.07266334602988574,IL12B
Allograft Rejection,-1.4618961272806517,0.07266334602988574,SRGN
Allograft Rejection,-1.4618961272806517,0.07266334602988574,NLRP3
Allograft Rejection,-1.4618961272806517,0.07266334602988574,HLA-DQA1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,NCR1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,ACVR2A
Allograft Rejection,-1.4618961272806517,0.07266334602988574,EREG
Allograft Rejection,-1.4618961272806517,0.07266334602988574,EIF3J
Allograft Rejection,-1.4618961272806517,0.07266334602988574,PRKCG
Allograft Rejection,-1.4618961272806517,0.07266334602988574,IL2RG
Allograft Rejection,-1.4618961272806517,0.07266334602988574,TNF
Allograft Rejection,-1.4618961272806517,0.07266334602988574,IFNGR2
Allograft Rejection,-1.4618961272806517,0.07266334602988574,HIF1A
Allograft Rejection,-1.4618961272806517,0.07266334602988574,PF4
Allograft Rejection,-1.4618961272806517,0.07266334602988574,MAP4K1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,THY1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,TIMP1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,LCP2
Allograft Rejection,-1.4618961272806517,0.07266334602988574,NME1
Allograft Rejection,-1.4618961272806517,0.07266334602988574,HLA-DOB
Allograft Rejection,-1.4618961272806517,0.07266334602988574,ACHE
KRAS Signaling Dn,-1.4251194791230601,0.08326008399257741,CLDN16
KRAS Signaling Dn,-1.4251194791230601,0.08326008399257741,PTPRJ
KRAS Signaling Dn,-1.4251194791230601,0.08326008399257741,SLC6A3
KRAS Signaling Dn,-1.4251194791230601,0.08326008399257741,ACTC1
KRAS Signaling Dn,-1.4251194791230601,0.08326008399257741,DTNB
KRAS Signaling Dn,-1.4251194791230601,0.08326008399257741,NRIP2
