0,C25,C24,C31,C32
ENSG00000223823.1,0,0,0,0
ENSG00000207730.3,0,0,0,0
ENSG00000207607.3,0,0,0,0
ENSG00000198976.1,0,0,0,0
ENSG00000272141.1,0,0,0,0
ENSG00000205231.1,0,0,0,0
ENSG00000162571.14,0,0,0,0
ENSG00000186891.14,14,17,39,35
ENSG00000186827.11,2,3,4,0
ENSG00000078808.18,5346,8373,7469,7186
ENSG00000176022.7,1051,1203,816,932
ENSG00000184163.3,29,28,50,23
ENSG00000260179.1,1,3,2,3
ENSG00000160087.21,1336,1465,1023,1166
ENSG00000230415.1,15,15,9,13
ENSG00000162572.21,48,86,77,89
ENSG00000131584.19,1166,1771,1647,1929
ENSG00000278073.1,0,0,0,0
ENSG00000169972.12,403,541,417,390
ENSG00000127054.21,1521,1509,1382,1797
ENSG00000283712.1,0,0,0,0
ENSG00000240731.1,27,45,18,30
ENSG00000224051.7,666,1046,922,927
ENSG00000169962.5,5,391,252,235
ENSG00000107404.20,1977,2510,1752,1923
ENSG00000284372.1,0,0,0,0
ENSG00000162576.17,2224,5439,4633,3005
ENSG00000175756.13,1612,1298,1330,1574
ENSG00000223663.2,1,0,0,0
ENSG00000221978.12,2842,2398,3128,2841
ENSG00000224870.7,359,394,288,335
ENSG00000242485.6,1505,1240,1045,1295
ENSG00000264293.2,0,0,0,0
ENSG00000272455.1,53,42,64,76
ENSG00000235098.8,1,8,11,7
ENSG00000225905.1,0,0,0,1
ENSG00000205116.3,1,0,0,0
ENSG00000225285.1,10,0,0,0
ENSG00000179403.12,165,67,72,466
ENSG00000215915.10,5,0,6,7
ENSG00000160072.20,855,424,472,605
ENSG00000284740.1,2,0,3,6
ENSG00000197785.14,1553,759,777,1115
ENSG00000205090.9,37,135,34,74
ENSG00000160075.12,2716,3408,2335,3184
ENSG00000215014.5,26,14,9,10
ENSG00000274481.1,0,0,0,0
ENSG00000228594.4,235,506,223,218
ENSG00000286989.1,8,6,1,1
ENSG00000272106.1,100,148,142,176
ENSG00000197530.12,1225,1395,1167,1388
ENSG00000189409.14,38,50,103,58
ENSG00000248333.8,1000,1203,637,877
ENSG00000272004.1,3,3,1,3
ENSG00000189339.12,2202,3994,2344,2353
ENSG00000269737.2,2,2,0,0
ENSG00000215914.4,0,4,2,5
ENSG00000008128.23,14,13,14,26
ENSG00000268575.1,43,85,11,25
ENSG00000227775.3,3,1,0,0
ENSG00000215790.7,184,349,277,237
ENSG00000008130.15,1407,2106,1192,1501
ENSG00000078369.18,13088,9319,7535,8282
ENSG00000231050.1,7,7,10,9
ENSG00000169885.10,10,4,4,10
ENSG00000178821.13,4,1,1,5
ENSG00000142609.18,0,0,0,0
ENSG00000233542.2,0,0,0,0
ENSG00000187730.9,0,0,0,0
ENSG00000226969.1,0,1,0,0
ENSG00000067606.17,27,6,5,19
ENSG00000271806.1,0,0,1,0
ENSG00000182873.5,13,53,22,24
ENSG00000162585.17,805,1073,944,1021
ENSG00000234396.3,0,0,0,1
ENSG00000157933.10,3588,6413,2626,5156
ENSG00000287356.1,31,84,22,33
ENSG00000116151.14,136,157,103,119
ENSG00000272161.1,0,0,2,2
ENSG00000269896.2,31,52,38,34
ENSG00000272420.1,5,1,8,4
ENSG00000157916.20,4351,3683,3659,3962
ENSG00000157911.11,906,1075,680,797
ENSG00000149527.18,35,4,4,5
ENSG00000224387.1,0,0,2,0
ENSG00000229393.1,0,1,1,2
ENSG00000157881.16,441,577,468,570
ENSG00000197921.6,0,0,0,0
ENSG00000272449.2,3,0,0,0
ENSG00000238164.6,0,0,0,0
ENSG00000157873.17,8,5,33,6
ENSG00000225931.3,0,0,0,0
ENSG00000228037.1,0,0,0,0
ENSG00000157870.17,771,284,299,451
ENSG00000142606.16,0,0,5,0
ENSG00000237058.1,0,0,0,0
ENSG00000215912.12,3,14,31,15
ENSG00000285945.1,0,0,0,0
ENSG00000283259.1,0,0,0,2
ENSG00000233234.1,0,0,0,0
ENSG00000287396.1,0,0,0,0
ENSG00000231630.1,0,0,0,0
ENSG00000284745.1,0,0,0,0
ENSG00000169717.7,0,0,0,0
ENSG00000177133.11,2,1,0,1
ENSG00000142611.17,13,40,0,10
ENSG00000283572.1,0,0,0,0
ENSG00000226286.1,0,0,0,0
ENSG00000279839.1,0,0,0,0
ENSG00000272235.1,11,3,0,5
ENSG00000287828.1,23,5,2,24
ENSG00000286518.1,0,0,0,0
ENSG00000130762.15,0,0,0,2
ENSG00000272088.1,0,0,0,0
ENSG00000162591.16,40,34,54,101
ENSG00000207776.1,0,0,0,0
ENSG00000238260.1,1,8,1,7
ENSG00000158109.15,1606,2759,1660,2335
ENSG00000116213.16,355,367,360,402
ENSG00000078900.15,0,7,3,3
ENSG00000227589.1,0,0,0,0
ENSG00000235131.1,0,0,0,0
ENSG00000227372.12,599,1060,666,842
ENSG00000276189.1,0,0,0,0
ENSG00000162592.10,0,0,0,0
ENSG00000235169.10,18,64,74,101
ENSG00000130764.10,1512,1711,1346,1616
ENSG00000266075.2,2,3,1,8
ENSG00000272153.1,1,5,11,6
ENSG00000116198.14,1188,863,600,731
ENSG00000169598.17,190,139,114,196
ENSG00000198912.11,675,740,618,929
ENSG00000236423.6,13,14,19,3
ENSG00000233304.7,0,0,0,1
ENSG00000226374.3,0,0,0,0
ENSG00000284668.2,0,0,0,0
ENSG00000284703.1,0,0,0,0
ENSG00000229280.1,0,0,0,0
ENSG00000235054.4,0,0,0,0
ENSG00000284694.1,0,0,0,0
ENSG00000227169.2,0,0,0,0
ENSG00000232596.3,0,0,0,0
ENSG00000196581.11,1,0,0,0
ENSG00000287586.1,0,0,0,0
ENSG00000284739.1,0,0,0,0
ENSG00000284674.1,0,0,0,0
ENSG00000231510.1,0,0,0,0
ENSG00000284616.1,0,0,0,0
ENSG00000284692.2,0,0,0,0
ENSG00000284666.1,0,0,0,0
ENSG00000260972.1,0,0,0,0
ENSG00000283356.1,0,0,0,0
ENSG00000236948.2,0,0,0,1
ENSG00000264341.1,0,0,0,0
ENSG00000264101.1,0,1,0,0
ENSG00000131697.18,368,276,224,320
ENSG00000069424.15,252,279,336,268
ENSG00000116254.18,14,5,1,1
ENSG00000285629.1,0,0,0,0
ENSG00000116251.11,2055,5231,2991,3342
ENSG00000226944.1,4,2,4,3
ENSG00000158286.13,158,31,40,39
ENSG00000116237.16,3321,5503,2945,3266
ENSG00000225077.3,2,0,2,0
ENSG00000173673.8,0,0,0,0
ENSG00000158292.7,604,4341,1215,3206
ENSG00000097021.19,1060,530,387,543
ENSG00000271746.1,3,0,5,3
ENSG00000069812.11,43,17,14,39
ENSG00000187017.17,5,29,17,6
ENSG00000265392.1,0,0,0,0
ENSG00000231868.1,0,0,0,0
ENSG00000215788.11,165,145,119,132
ENSG00000171680.23,770,506,368,384
ENSG00000162408.11,792,787,466,635
ENSG00000253022.1,0,0,0,0
ENSG00000229519.2,0,0,0,0
ENSG00000173662.21,0,3,23,10
ENSG00000204859.13,252,294,275,416
ENSG00000162413.16,1356,1960,2033,1729
ENSG00000116273.6,748,1549,939,970
ENSG00000041988.15,249,337,278,361
ENSG00000007923.16,1648,1480,999,1311
ENSG00000228750.7,0,0,0,0
ENSG00000284744.1,0,0,0,0
ENSG00000237436.1,0,5,6,6
ENSG00000171735.19,475,588,520,554
ENSG00000227950.1,0,0,0,0
ENSG00000237365.1,0,0,0,0
ENSG00000207056.1,0,0,0,0
ENSG00000237402.1,0,0,1,1
ENSG00000237728.2,0,0,0,0
ENSG00000225126.1,0,0,0,0
ENSG00000270171.1,0,0,0,0
ENSG00000270035.1,0,0,0,0
ENSG00000269978.1,0,0,0,0
ENSG00000049245.13,2994,2995,2185,2158
ENSG00000269925.1,5,17,7,16
ENSG00000049246.14,112,282,127,185
ENSG00000236266.1,0,0,0,0
ENSG00000049247.14,0,0,0,0
ENSG00000049249.9,4,0,0,2
ENSG00000270330.1,0,0,0,0
ENSG00000116288.13,4552,4363,4077,4173
ENSG00000200344.1,0,0,0,0
ENSG00000284747.1,15,17,6,3
ENSG00000284716.1,0,0,0,0
ENSG00000116285.13,6203,3053,1987,2157
ENSG00000238290.1,7,3,5,4
ENSG00000232848.1,0,0,0,0
ENSG00000229305.1,0,0,0,0
ENSG00000227634.3,0,0,0,0
ENSG00000200975.1,0,0,0,0
ENSG00000233645.1,0,0,0,0
ENSG00000251977.1,0,0,0,0
ENSG00000162426.15,71,142,88,93
ENSG00000252254.1,0,0,0,0
ENSG00000142599.19,2665,5162,3049,3379
ENSG00000232912.6,3,6,1,1
ENSG00000221083.1,0,0,0,0
ENSG00000270282.1,0,0,0,0
ENSG00000234619.1,0,2,1,0
ENSG00000224315.2,0,2,0,0
ENSG00000222511.2,0,0,0,0
ENSG00000226545.1,0,0,0,0
ENSG00000228423.2,1,0,0,1
ENSG00000229716.2,0,0,0,0
ENSG00000074800.16,32886,20388,21951,20392
ENSG00000274258.1,0,0,0,0
ENSG00000230679.1,4,1,2,4
ENSG00000201725.1,0,0,0,0
ENSG00000238249.2,1,0,0,1
ENSG00000232208.2,0,1,1,0
ENSG00000232663.2,0,0,0,1
ENSG00000131686.15,0,0,0,0
ENSG00000265141.2,0,0,0,0
ENSG00000197241.3,0,0,0,0
ENSG00000142583.18,3,5,9,4
ENSG00000252404.1,0,0,0,0
ENSG00000180758.12,139,93,53,80
ENSG00000228526.7,223,360,705,281
ENSG00000284357.1,0,0,0,0
ENSG00000234546.4,56,102,91,37
ENSG00000049239.13,3415,9443,4443,4940
ENSG00000171621.14,1764,1345,1261,1048
ENSG00000284652.1,8,2,2,9
ENSG00000284693.1,35,88,34,34
ENSG00000252956.1,0,0,0,0
ENSG00000235263.1,0,0,0,0
ENSG00000171612.7,403,436,368,416
ENSG00000231181.1,2,5,3,6
ENSG00000188807.13,394,376,323,482
ENSG00000171608.16,342,22,35,27
ENSG00000179840.5,0,0,0,0
ENSG00000233268.3,0,0,0,0
ENSG00000231789.2,18,1,4,8
ENSG00000171603.18,4897,7806,5760,7893
ENSG00000271264.1,0,0,0,0
ENSG00000280113.2,0,0,0,0
ENSG00000178585.15,1467,921,886,967
ENSG00000223989.1,0,0,0,1
ENSG00000285701.1,0,0,0,0
ENSG00000162441.12,1169,2025,1369,1580
ENSG00000228150.1,3,2,0,0
ENSG00000173614.14,415,439,404,351
ENSG00000202415.1,0,5,1,1
ENSG00000283611.2,0,0,0,0
ENSG00000265521.1,0,0,1,0
ENSG00000241326.1,0,0,0,0
ENSG00000162444.12,9,12,10,10
ENSG00000130939.20,2528,3334,2441,3002
ENSG00000224340.1,0,0,0,0
ENSG00000233623.2,0,0,1,0
ENSG00000201746.1,2,3,0,0
ENSG00000054523.18,3093,3751,2045,2733
ENSG00000264881.1,0,0,0,0
ENSG00000199562.1,0,2,3,2
ENSG00000264501.2,0,0,0,0
ENSG00000284735.1,0,0,2,0
ENSG00000284642.1,6,3,4,4
ENSG00000142657.21,6781,4273,5569,7825
ENSG00000271989.1,1,0,1,1
ENSG00000251503.8,0,0,0,0
ENSG00000175279.22,18,22,28,32
ENSG00000241563.4,0,1,1,0
ENSG00000160049.12,1844,1632,1218,1308
ENSG00000203469.2,0,0,1,0
ENSG00000142655.13,452,501,447,555
ENSG00000287727.1,0,0,0,0
ENSG00000243267.3,0,1,0,1
ENSG00000130940.15,5,10,11,15
ENSG00000272078.1,0,0,0,1
ENSG00000225158.2,0,0,0,0
ENSG00000175262.14,0,26,20,6
ENSG00000215785.2,0,0,0,0
ENSG00000120948.18,2146,1933,1640,1835
ENSG00000277726.4,0,0,0,0
ENSG00000009724.17,3,0,0,1
ENSG00000271895.2,16,16,36,28
ENSG00000116649.10,4313,2257,3588,3192
ENSG00000171824.14,1773,1968,1888,1595
ENSG00000226849.1,4,15,21,13
ENSG00000230337.1,9,0,3,6
ENSG00000198793.13,2672,2313,1696,2352
ENSG00000225602.5,0,0,0,1
ENSG00000253086.1,0,0,0,0
ENSG00000171819.5,42,1533,7391,87
ENSG00000207451.1,0,0,0,0
ENSG00000238173.1,0,0,0,0
ENSG00000120942.14,687,776,453,632
ENSG00000238199.1,0,0,0,0
ENSG00000284646.1,0,0,0,0
ENSG00000224338.2,0,0,0,0
ENSG00000204624.8,1,3,12,2
ENSG00000285833.1,0,0,0,0
ENSG00000235643.2,0,0,0,0
ENSG00000284708.1,0,0,0,0
ENSG00000116661.11,290,1011,4325,896
ENSG00000132879.14,324,467,706,460
ENSG00000116663.11,185,310,352,397
ENSG00000116670.15,488,401,477,615
ENSG00000162490.7,193,15,80,7
ENSG00000177674.16,678,798,872,861
ENSG00000215910.7,1,5,7,9
ENSG00000177553.6,0,0,0,0
ENSG00000177000.13,866,2348,1622,1943
ENSG00000011021.23,861,1264,1072,1617
ENSG00000276470.1,0,0,0,0
ENSG00000278852.1,0,0,0,0
ENSG00000175206.10,0,0,1,0
ENSG00000275915.1,0,0,0,0
ENSG00000120937.9,0,0,0,0
ENSG00000224904.1,0,0,0,1
ENSG00000285646.2,0,0,1,0
ENSG00000199347.1,0,0,0,0
ENSG00000201801.1,0,0,0,0
ENSG00000116685.16,1412,1492,1392,1277
ENSG00000083444.17,9117,9831,17279,15716
ENSG00000287384.1,0,0,1,0
ENSG00000116688.18,3231,3805,2458,2753
ENSG00000270914.1,0,0,0,0
ENSG00000116691.11,243,198,296,342
ENSG00000202461.1,0,0,0,0
ENSG00000276869.1,0,0,0,0
ENSG00000243539.3,0,0,0,0
ENSG00000120949.15,38,15,44,5
ENSG00000201135.1,0,0,0,0
ENSG00000227875.2,0,0,1,0
ENSG00000285604.1,0,0,0,0
ENSG00000283789.1,0,0,0,0
ENSG00000028137.19,0,18,30,5
ENSG00000263676.1,0,0,0,0
ENSG00000225196.2,0,0,0,0
ENSG00000252969.1,0,0,0,0
ENSG00000048707.15,2230,3103,1146,1773
ENSG00000239149.1,1,0,0,0
ENSG00000229484.1,0,0,0,0
ENSG00000162496.9,82,486,391,430
ENSG00000221340.1,0,2,0,1
ENSG00000276830.1,0,0,0,0
ENSG00000272482.1,5,2,1,1
ENSG00000204518.2,0,0,1,0
ENSG00000226166.2,0,0,0,0
ENSG00000188984.12,0,0,0,0
ENSG00000157330.10,0,1,0,1
ENSG00000116726.5,0,0,0,0
ENSG00000116721.9,0,0,0,0
ENSG00000228338.1,0,0,0,0
ENSG00000239810.3,0,0,0,0
ENSG00000231103.2,0,0,0,0
ENSG00000179172.10,1,3,4,1
ENSG00000120952.4,0,0,0,0
ENSG00000243073.4,0,0,0,0
ENSG00000187545.5,0,0,0,0
ENSG00000204510.5,0,0,0,0
ENSG00000207434.1,0,0,0,0
ENSG00000234064.1,0,0,0,0
ENSG00000232423.6,0,0,0,0
ENSG00000274178.2,0,0,0,0
ENSG00000274764.5,0,0,0,0
ENSG00000277058.2,0,0,0,0
ENSG00000229571.7,0,0,0,0
ENSG00000277862.1,0,0,0,0
ENSG00000236179.1,0,0,0,0
ENSG00000275774.3,0,0,0,0
ENSG00000229978.1,0,0,0,0
ENSG00000233336.1,0,0,0,0
ENSG00000280267.4,0,0,0,0
ENSG00000179412.11,0,0,0,0
ENSG00000204505.4,0,0,0,0
ENSG00000279169.3,0,0,0,0
ENSG00000279804.2,0,0,0,0
ENSG00000250894.1,0,0,0,0
ENSG00000270601.4,0,0,0,0
ENSG00000231219.1,0,0,0,0
ENSG00000207511.1,0,0,0,0
ENSG00000182330.10,0,0,0,0
ENSG00000237700.2,0,0,0,0
ENSG00000204501.7,0,0,0,0
ENSG00000228229.2,0,0,0,0
ENSG00000204481.8,0,0,0,0
ENSG00000204480.8,0,0,0,0
ENSG00000204479.4,0,0,0,0
ENSG00000204478.9,0,0,0,0
ENSG00000162494.6,0,0,0,0
ENSG00000259961.1,0,0,0,0
ENSG00000215909.3,0,0,0,0
ENSG00000162493.16,245,16,90,487
ENSG00000222952.1,0,0,0,0
ENSG00000237445.2,0,0,0,0
ENSG00000253085.1,0,0,0,0
ENSG00000116731.22,1554,1672,1203,1294
ENSG00000189337.17,446,901,584,505
ENSG00000252151.1,0,0,0,0
ENSG00000231606.2,1,0,0,0
ENSG00000234593.3,0,0,0,0
ENSG00000235829.1,0,0,0,0
ENSG00000287756.1,0,0,0,0
ENSG00000175147.13,1,1,1,2
ENSG00000171729.14,78,31,29,45
ENSG00000204464.7,0,0,0,0
ENSG00000215720.4,0,0,0,0
ENSG00000278480.1,0,0,0,0
ENSG00000142621.19,33,16,8,21
ENSG00000233485.1,0,3,3,3
ENSG00000236045.1,0,0,0,0
ENSG00000228140.2,1,1,0,2
ENSG00000142634.13,1305,2255,1384,1565
ENSG00000162438.12,1,0,1,0
ENSG00000142615.8,0,0,0,0
ENSG00000215704.10,0,0,0,0
ENSG00000132906.18,205,281,277,271
ENSG00000116138.13,990,1358,743,1000
ENSG00000251866.1,0,0,0,0
ENSG00000272510.1,0,0,3,1
ENSG00000116771.6,71,29,29,50
ENSG00000237301.1,0,1,1,2
ENSG00000235084.3,24,5,34,46
ENSG00000252417.1,0,0,0,0
ENSG00000236500.1,0,0,0,0
ENSG00000197312.12,1253,1304,701,840
ENSG00000215695.1,0,0,0,0
ENSG00000271742.1,0,0,1,0
ENSG00000116786.13,2260,3415,3125,2851
ENSG00000237938.5,0,0,2,2
ENSG00000162461.8,18,22,14,37
ENSG00000224459.1,2,0,0,0
ENSG00000162460.7,0,0,0,0
ENSG00000162458.13,2333,834,546,754
ENSG00000224321.1,1,1,0,0
ENSG00000233954.6,155,173,153,167
ENSG00000178715.8,5,8,7,10
ENSG00000179743.4,37,93,68,58
ENSG00000065526.12,2399,2964,1536,2615
ENSG00000270620.1,0,0,0,0
ENSG00000116809.12,641,647,594,572
ENSG00000234607.2,0,0,0,0
ENSG00000231353.1,0,0,0,0
ENSG00000275503.1,0,0,0,0
ENSG00000224966.4,0,0,0,0
ENSG00000183888.4,0,0,0,0
ENSG00000233078.1,0,0,0,0
ENSG00000173641.17,7,81,117,328
ENSG00000186510.12,0,0,0,4
ENSG00000232456.1,0,2,0,3
ENSG00000184908.18,3,2,3,3
ENSG00000185519.9,4,46,2,8
ENSG00000142627.13,2084,1550,724,725
ENSG00000227959.1,5,7,0,1
ENSG00000224621.1,2,8,1,0
ENSG00000234166.1,0,0,0,0
ENSG00000142632.17,237,144,148,197
ENSG00000237276.8,11,12,6,4
ENSG00000288398.1,182,201,163,187
ENSG00000132881.12,112,156,104,130
ENSG00000233929.1,0,0,12,0
ENSG00000037637.11,1007,1267,899,966
ENSG00000055070.17,5218,7402,4248,4282
ENSG00000226457.1,0,0,1,1
ENSG00000187144.11,0,1,1,1
ENSG00000157191.20,1699,1958,1679,1376
ENSG00000226029.1,19,41,25,17
ENSG00000080947.15,150,158,158,160
ENSG00000206652.1,0,0,0,0
ENSG00000261135.1,0,1,0,0
ENSG00000285853.1,0,0,0,0
ENSG00000224174.2,0,0,0,0
ENSG00000233421.4,3,0,0,1
ENSG00000277344.1,0,0,0,0
ENSG00000225710.1,0,0,0,0
ENSG00000219481.10,1719,1667,843,1192
ENSG00000271732.1,0,0,1,0
ENSG00000215908.10,282,410,499,646
ENSG00000283773.1,0,0,0,0
ENSG00000186301.8,27,17,20,17
ENSG00000282143.1,0,0,0,0
ENSG00000207513.1,0,0,0,0
ENSG00000280114.1,0,0,0,0
ENSG00000236698.1,116,128,70,118
ENSG00000268869.6,1,1,0,1
ENSG00000279151.1,0,0,0,0
ENSG00000282740.1,0,0,0,0
ENSG00000058453.17,955,1045,863,1052
ENSG00000227684.2,0,1,2,0
ENSG00000207389.1,0,0,0,0
ENSG00000186715.11,7,13,16,17
ENSG00000223643.6,0,0,0,0
ENSG00000230239.1,0,0,0,0
ENSG00000263811.1,0,0,0,0
ENSG00000228549.4,2,0,0,0
ENSG00000277234.1,0,0,0,0
ENSG00000238142.2,123,139,130,96
ENSG00000235241.1,0,0,0,0
ENSG00000207005.1,0,0,1,0
ENSG00000272426.1,1,0,0,0
ENSG00000117122.14,4729,4606,4050,4612
ENSG00000286898.1,3,1,9,12
ENSG00000226526.1,8,0,4,1
ENSG00000159363.19,2098,510,481,850
ENSG00000288636.1,0,0,0,0
ENSG00000117118.10,1489,1142,1057,1091
ENSG00000117115.13,5,0,0,23
ENSG00000204362.6,20,0,0,2
ENSG00000282843.1,0,0,0,0
ENSG00000142623.11,4,1,0,2
ENSG00000142619.4,1,1,2,0
ENSG00000266634.1,0,0,0,0
ENSG00000159339.13,0,0,0,0
ENSG00000276747.1,0,0,0,0
ENSG00000227751.1,0,0,0,1
ENSG00000179051.14,5016,3887,5741,4438
ENSG00000074964.17,538,496,456,545
ENSG00000236648.2,0,0,0,0
ENSG00000117148.8,1,0,1,0
ENSG00000284653.1,0,0,0,0
ENSG00000261781.1,0,0,0,0
ENSG00000117154.12,0,0,0,0
ENSG00000280222.1,0,0,0,0
ENSG00000230035.2,0,0,0,0
ENSG00000225387.1,0,0,0,0
ENSG00000179023.8,0,0,0,0
ENSG00000235282.3,0,0,0,0
ENSG00000225478.2,0,0,0,0
ENSG00000009709.12,0,0,0,0
ENSG00000179002.5,0,0,0,0
ENSG00000159423.17,152,161,74,149
ENSG00000265606.1,0,0,0,0
ENSG00000221662.1,0,0,0,0
ENSG00000169991.11,1229,991,265,539
ENSG00000272084.1,3,9,8,5
ENSG00000127481.15,7154,8365,4539,5544
ENSG00000230424.1,28,25,24,34
ENSG00000127463.15,3068,3447,1797,2526
ENSG00000053372.5,1356,929,587,822
ENSG00000286064.1,0,0,1,1
ENSG00000211454.15,15,11,16,12
ENSG00000162482.5,8,13,8,15
ENSG00000270728.1,0,0,0,0
ENSG00000053371.12,1121,1202,1267,1115
ENSG00000200403.1,2,1,1,3
ENSG00000040487.13,463,1062,1080,1017
ENSG00000077549.19,6212,5510,5735,4597
ENSG00000240490.3,0,0,0,0
ENSG00000173436.15,100,213,172,136
ENSG00000201609.1,0,0,0,0
ENSG00000235185.1,0,0,0,0
ENSG00000158747.15,957,4095,4555,1384
ENSG00000270136.6,0,0,0,0
ENSG00000226396.1,11,23,26,30
ENSG00000158748.4,0,0,0,0
ENSG00000162542.13,185,259,298,218
ENSG00000178828.7,0,0,0,0
ENSG00000235434.1,0,0,0,0
ENSG00000169914.6,462,830,289,499
ENSG00000188784.4,0,0,0,0
ENSG00000242688.3,0,0,0,0
ENSG00000188257.11,0,0,0,0
ENSG00000127472.11,0,0,0,0
ENSG00000117215.15,0,0,0,0
ENSG00000158786.5,0,0,0,0
ENSG00000227066.2,0,0,0,0
ENSG00000187980.6,0,0,0,0
ENSG00000225986.1,0,0,0,0
ENSG00000162543.6,0,0,0,0
ENSG00000228105.2,0,0,0,0
ENSG00000284710.1,0,0,0,0
ENSG00000158816.15,0,0,0,0
ENSG00000226664.1,0,0,0,0
ENSG00000236963.7,0,0,0,0
ENSG00000226487.1,0,0,0,0
ENSG00000284641.1,0,0,0,0
ENSG00000284743.1,0,0,0,0
ENSG00000162545.6,135,61,41,47
ENSG00000090432.7,686,1444,1298,1244
ENSG00000215520.3,0,0,0,0
ENSG00000183114.8,665,491,527,493
ENSG00000158825.6,263,78,81,166
ENSG00000158828.8,2047,3682,3302,2656
ENSG00000284005.1,0,0,0,0
ENSG00000117242.7,447,459,198,422
ENSG00000244038.11,7954,9732,6148,9386
ENSG00000117245.12,85,24,5,16
ENSG00000235432.1,0,0,0,0
ENSG00000189410.12,79,52,54,78
ENSG00000233069.1,0,0,0,2
ENSG00000127483.19,9789,7425,7930,7088
ENSG00000075151.20,5702,5514,3867,3353
ENSG00000251914.1,0,0,0,0
ENSG00000221808.1,0,0,0,0
ENSG00000233072.1,0,0,1,0
ENSG00000236073.2,1,0,0,0
ENSG00000235112.1,0,0,0,0
ENSG00000287192.1,0,2,0,0
ENSG00000117298.16,2340,953,692,982
ENSG00000236936.1,0,0,0,1
ENSG00000231105.2,4,0,0,1
ENSG00000236216.5,0,5,0,3
ENSG00000228823.1,0,0,0,0
ENSG00000236009.1,0,0,0,0
ENSG00000227001.3,23,27,29,26
ENSG00000187952.9,3,1,4,5
ENSG00000186543.7,0,0,0,0
ENSG00000142794.18,361,350,134,200
ENSG00000176378.8,0,0,0,0
ENSG00000162551.14,1348,352,77,38
ENSG00000233431.1,0,0,0,0
ENSG00000076864.19,191,49,172,183
ENSG00000090686.16,2894,2058,1810,1970
ENSG00000231978.2,0,0,0,0
ENSG00000187942.12,83,52,107,85
ENSG00000142798.20,12102,22755,9869,14268
ENSG00000232037.3,0,0,0,1
ENSG00000283234.1,0,0,0,0
ENSG00000219073.8,0,0,0,0
ENSG00000285959.1,0,0,0,0
ENSG00000273610.1,0,0,0,0
ENSG00000201919.1,0,0,0,0
ENSG00000142789.20,0,0,0,0
ENSG00000278124.1,0,0,0,0
ENSG00000201273.1,0,0,0,0
