0,P2,P2 w/ testosterone,P5,P5 w/ testosterone,P11,P12,P12 w/ testosterone
ENSG00000240409.1,0,0,1,1,2,0,1
ENSG00000248527.1,7583,6593,4210,7839,8222,13586,13087
ENSG00000198744.5,18,25,16,28,40,66,76
ENSG00000268663.1,0,0,0,0,0,0,0
ENSG00000284662.1,0,0,0,0,0,0,0
ENSG00000229376.3,1,0,0,0,0,0,1
ENSG00000228327.3,37,86,46,132,75,119,137
ENSG00000223181.1,0,1,0,2,0,0,0
ENSG00000229905.1,0,0,0,0,0,0,0
ENSG00000237491.10,55,61,20,76,75,97,136
ENSG00000285268.1,0,0,0,0,0,0,0
ENSG00000230092.7,2,7,2,7,11,10,14
ENSG00000177757.2,0,2,0,0,0,1,1
ENSG00000228794.10,366,440,225,492,453,699,626
ENSG00000225880.5,17,13,7,26,16,22,21
ENSG00000288531.1,0,0,0,0,0,0,1
ENSG00000230368.2,0,1,1,0,0,1,0
ENSG00000234711.1,0,0,0,0,0,0,0
ENSG00000283040.1,0,0,0,0,0,0,0
ENSG00000272438.1,0,0,0,1,0,0,1
ENSG00000230699.2,0,3,0,0,2,6,6
ENSG00000241180.1,0,0,0,0,0,0,0
ENSG00000223764.2,6,8,0,3,9,3,3
ENSG00000187634.12,35,35,17,20,49,61,29
ENSG00000188976.11,1598,1535,625,1389,1516,2294,2238
ENSG00000187961.14,184,230,82,210,167,228,249
ENSG00000187583.11,3,4,1,4,7,51,58
ENSG00000187642.9,0,0,0,0,0,3,0
ENSG00000272512.1,1,1,2,2,5,16,4
ENSG00000188290.11,52,49,7,22,38,186,69
ENSG00000187608.10,1215,862,472,882,968,2810,876
ENSG00000231702.2,0,0,0,0,0,0,0
ENSG00000224969.1,1,2,2,2,0,0,0
ENSG00000188157.15,4220,5418,2766,5990,5501,12986,14180
ENSG00000242590.1,0,0,0,0,0,0,0
ENSG00000217801.10,36,36,16,44,10,23,13
ENSG00000273443.1,0,1,0,2,0,1,0
ENSG00000237330.3,0,0,0,0,0,1,0
ENSG00000131591.17,164,191,98,180,173,178,187
ENSG00000285812.1,0,0,0,0,0,0,0
ENSG00000223823.1,0,0,0,0,0,0,0
ENSG00000207730.3,0,0,0,0,0,0,0
ENSG00000207607.3,0,0,0,0,0,0,0
ENSG00000198976.1,0,1,0,0,0,0,0
ENSG00000272141.1,0,0,1,1,0,1,0
ENSG00000205231.1,0,1,0,0,0,0,0
ENSG00000162571.14,0,0,0,0,0,0,0
ENSG00000186891.14,36,38,41,78,13,8,12
ENSG00000186827.11,7,3,6,6,6,2,4
ENSG00000078808.18,6697,6306,2956,5964,7551,10911,10771
ENSG00000176022.7,1077,962,449,793,854,1020,1076
ENSG00000184163.3,22,12,12,21,21,12,23
ENSG00000260179.1,1,5,5,4,5,2,1
ENSG00000160087.21,1205,1181,510,1105,1210,1758,1724
ENSG00000230415.1,8,9,7,13,18,9,13
ENSG00000162572.21,65,87,24,97,76,50,64
ENSG00000131584.19,1568,1949,878,2304,1851,1405,1398
ENSG00000278073.1,0,0,0,0,0,0,0
ENSG00000169972.12,409,389,201,370,389,455,464
ENSG00000127054.21,1577,1610,715,1582,1776,1487,1527
ENSG00000283712.1,0,0,0,0,0,0,0
ENSG00000240731.1,19,38,16,38,28,19,33
ENSG00000224051.7,789,691,350,636,883,859,883
ENSG00000169962.5,58,44,17,62,133,5,4
ENSG00000107404.20,1660,1638,724,1382,2103,3864,3752
ENSG00000284372.1,0,0,0,0,0,0,0
ENSG00000162576.17,1925,1739,783,1596,1845,3382,3023
ENSG00000175756.13,1636,1317,603,1061,1311,2025,2208
ENSG00000223663.2,0,0,0,0,0,0,2
ENSG00000221978.12,2420,3746,1811,4815,3066,3159,3611
ENSG00000224870.7,326,352,152,319,336,502,497
ENSG00000242485.6,1267,1065,538,1008,1116,1343,1416
ENSG00000264293.2,0,0,0,0,0,0,0
ENSG00000272455.1,62,67,51,74,62,102,100
ENSG00000235098.8,7,3,2,1,1,0,0
ENSG00000225905.1,0,0,0,0,0,1,0
ENSG00000205116.3,0,0,0,0,0,0,0
ENSG00000225285.1,3,0,1,0,7,0,0
ENSG00000179403.12,130,138,106,166,320,110,97
ENSG00000215915.10,3,1,0,3,6,5,2
ENSG00000160072.20,452,621,261,586,546,825,885
ENSG00000284740.1,1,4,8,7,1,16,15
ENSG00000197785.14,1027,1050,369,763,982,1859,1798
ENSG00000205090.9,90,64,45,83,148,58,85
ENSG00000160075.12,3270,2708,1154,2300,3109,3725,3870
ENSG00000215014.5,11,15,6,6,10,56,30
ENSG00000274481.1,0,0,0,0,0,0,0
ENSG00000228594.4,656,528,259,494,453,370,362
ENSG00000286989.1,20,13,7,11,1,3,11
ENSG00000272106.1,181,182,80,205,158,130,142
ENSG00000197530.12,1274,1440,601,1429,1311,1802,1848
ENSG00000189409.14,43,45,63,150,127,137,136
ENSG00000248333.8,823,880,391,840,951,857,910
ENSG00000272004.1,4,0,1,2,6,2,2
ENSG00000189339.12,2413,2888,1266,3163,2440,2061,2058
ENSG00000269737.2,0,0,0,0,0,1,0
ENSG00000215914.4,3,3,4,10,2,5,3
ENSG00000008128.23,32,25,16,38,27,8,8
ENSG00000268575.1,19,64,16,65,61,63,71
ENSG00000227775.3,0,4,1,0,1,1,1
ENSG00000215790.7,538,616,342,771,623,492,524
ENSG00000008130.15,1327,1331,586,1262,1624,2376,2284
ENSG00000078369.18,7992,7860,3553,7098,9189,19087,18723
ENSG00000231050.1,5,2,3,8,5,1,3
ENSG00000169885.10,11,11,3,17,7,18,13
ENSG00000178821.13,15,18,3,8,7,4,8
ENSG00000142609.18,0,0,0,0,0,1,0
ENSG00000233542.2,0,0,0,0,0,0,0
ENSG00000187730.9,0,0,0,0,0,0,0
ENSG00000226969.1,0,0,0,0,0,0,0
ENSG00000067606.17,9,6,3,15,21,36,45
ENSG00000271806.1,0,1,0,0,0,0,0
ENSG00000182873.5,20,22,6,24,63,43,32
ENSG00000162585.17,873,866,462,904,1027,1273,1204
ENSG00000234396.3,1,1,3,3,1,0,1
ENSG00000157933.10,3830,4291,1832,3813,5324,5006,4197
ENSG00000287356.1,13,30,5,23,29,26,21
ENSG00000116151.14,114,179,38,149,144,237,301
ENSG00000272161.1,0,2,0,3,1,2,1
ENSG00000269896.2,39,65,19,56,43,99,88
ENSG00000272420.1,11,12,3,9,5,4,16
ENSG00000157916.20,4492,4433,1968,4178,4561,8835,9131
ENSG00000157911.11,854,858,378,746,662,760,805
ENSG00000149527.18,4,3,0,7,7,36,30
ENSG00000224387.1,1,0,0,0,2,0,0
ENSG00000229393.1,0,0,0,0,0,0,1
ENSG00000157881.16,439,484,243,517,544,642,692
ENSG00000197921.6,0,0,0,0,0,0,1
ENSG00000272449.2,1,1,0,0,0,2,3
ENSG00000238164.6,0,0,0,0,0,0,2
ENSG00000157873.17,10,12,9,45,15,16,16
ENSG00000225931.3,0,0,0,0,1,0,0
ENSG00000228037.1,0,0,0,0,0,0,0
ENSG00000157870.17,459,461,208,425,429,866,827
ENSG00000142606.16,6,4,2,7,0,3,4
ENSG00000237058.1,0,0,0,0,0,0,0
ENSG00000215912.12,22,30,12,28,5,7,11
ENSG00000285945.1,0,0,0,0,0,0,0
ENSG00000283259.1,0,0,0,0,0,0,0
ENSG00000233234.1,0,0,0,0,0,0,0
ENSG00000287396.1,0,0,0,0,0,0,0
ENSG00000231630.1,0,0,0,0,0,0,0
ENSG00000284745.1,0,0,0,0,0,0,0
ENSG00000169717.7,0,0,0,0,0,0,0
ENSG00000177133.11,7,16,2,4,0,3,0
ENSG00000142611.17,63,89,20,32,41,18,21
ENSG00000283572.1,0,0,0,0,0,0,0
ENSG00000226286.1,0,0,0,0,0,0,0
ENSG00000279839.1,0,0,0,0,0,0,0
ENSG00000272235.1,9,26,1,5,12,13,5
ENSG00000287828.1,21,32,2,4,12,10,15
ENSG00000286518.1,0,0,0,0,0,0,0
ENSG00000130762.15,2,2,1,2,5,11,2
ENSG00000272088.1,0,0,0,0,0,0,0
ENSG00000162591.16,105,132,82,145,158,84,71
ENSG00000207776.1,0,0,0,0,0,0,0
ENSG00000238260.1,11,20,8,20,8,8,10
ENSG00000158109.15,2656,2490,905,1755,2226,3640,3562
ENSG00000116213.16,399,392,178,375,406,468,489
ENSG00000078900.15,6,8,1,2,8,0,0
ENSG00000227589.1,0,0,0,0,0,0,1
ENSG00000235131.1,0,0,0,0,0,0,0
ENSG00000227372.12,644,795,412,904,847,559,594
ENSG00000276189.1,0,0,0,0,0,0,0
ENSG00000162592.10,0,0,0,0,0,0,0
ENSG00000235169.10,92,73,37,69,80,14,12
ENSG00000130764.10,1505,1485,661,1255,1503,1954,1986
ENSG00000266075.2,3,4,0,5,4,0,1
ENSG00000272153.1,7,6,5,8,12,1,1
ENSG00000116198.14,755,838,369,833,849,1759,1631
ENSG00000169598.17,147,175,71,168,144,172,200
ENSG00000198912.11,774,753,336,696,632,667,645
ENSG00000236423.6,11,7,5,12,13,47,42
ENSG00000233304.7,0,0,0,0,0,0,0
ENSG00000226374.3,0,0,0,0,0,0,0
ENSG00000284668.2,0,0,0,1,0,0,0
ENSG00000284703.1,0,0,0,1,0,0,0
ENSG00000229280.1,0,0,0,0,0,0,0
ENSG00000235054.4,0,0,0,0,0,0,0
ENSG00000284694.1,0,0,0,0,0,0,0
ENSG00000227169.2,0,0,0,0,0,0,0
ENSG00000232596.3,0,0,0,0,0,0,0
ENSG00000196581.11,0,1,0,1,6,0,1
ENSG00000287586.1,0,0,0,0,0,0,0
ENSG00000284739.1,0,0,0,0,0,0,0
ENSG00000284674.1,0,0,0,0,0,0,0
ENSG00000231510.1,0,0,0,0,0,0,0
ENSG00000284616.1,0,0,0,0,0,0,0
ENSG00000284692.2,0,0,0,0,0,0,0
ENSG00000284666.1,0,0,0,0,0,0,0
ENSG00000260972.1,0,0,0,0,0,0,0
ENSG00000283356.1,0,0,0,0,0,0,0
ENSG00000236948.2,0,0,0,0,0,0,0
ENSG00000264341.1,0,0,0,0,0,0,0
ENSG00000264101.1,0,0,0,0,0,0,0
ENSG00000131697.18,358,456,149,339,397,511,568
ENSG00000069424.15,323,395,171,350,289,394,426
ENSG00000116254.18,3,9,0,7,0,50,39
ENSG00000285629.1,0,0,0,0,0,0,0
ENSG00000116251.11,4171,3390,1963,3959,4692,2702,3047
ENSG00000226944.1,5,7,3,3,6,16,25
ENSG00000158286.13,56,82,28,91,40,117,117
ENSG00000116237.16,3055,3056,1584,3170,4400,5636,5800
ENSG00000225077.3,0,0,0,0,0,0,4
ENSG00000173673.8,0,0,0,0,0,0,0
ENSG00000158292.7,1494,1566,410,794,2654,446,458
ENSG00000097021.19,495,390,116,232,353,1765,2017
ENSG00000271746.1,2,3,0,0,1,0,0
ENSG00000069812.11,18,25,4,4,21,20,38
ENSG00000187017.17,0,0,2,2,5,1,1
ENSG00000265392.1,0,0,0,0,0,0,0
ENSG00000231868.1,0,0,0,0,0,0,0
ENSG00000215788.11,93,124,121,332,129,337,321
ENSG00000171680.23,287,428,319,898,378,1103,965
ENSG00000162408.11,636,667,289,550,615,788,708
ENSG00000253022.1,0,0,0,0,0,0,0
ENSG00000229519.2,0,0,0,0,0,0,0
ENSG00000173662.21,0,3,1,4,4,0,0
ENSG00000204859.13,352,394,186,382,430,464,483
ENSG00000162413.16,2021,2258,930,2003,1918,2798,2787
ENSG00000116273.6,865,951,458,1015,939,816,705
ENSG00000041988.15,336,345,187,344,438,455,435
ENSG00000007923.16,1229,1272,548,1201,1446,2002,2000
ENSG00000228750.7,0,0,0,0,0,0,0
ENSG00000284744.1,0,0,0,0,0,0,0
ENSG00000237436.1,5,4,1,2,8,1,5
ENSG00000171735.19,575,464,279,489,509,410,411
ENSG00000227950.1,0,0,0,0,0,0,0
ENSG00000237365.1,0,0,0,0,0,0,0
ENSG00000207056.1,0,0,0,0,0,0,0
ENSG00000237402.1,0,0,0,0,0,4,0
ENSG00000237728.2,0,0,0,0,0,0,0
ENSG00000225126.1,0,0,0,0,0,0,0
ENSG00000270171.1,0,0,0,0,0,0,0
ENSG00000270035.1,0,0,0,0,0,0,0
ENSG00000269978.1,0,0,0,0,1,0,0
ENSG00000049245.13,2187,2014,892,1783,2035,4864,4872
ENSG00000269925.1,6,24,7,13,13,23,14
ENSG00000049246.14,201,244,82,171,190,32,66
ENSG00000236266.1,0,0,0,0,0,0,0
ENSG00000049247.14,0,1,0,0,0,0,0
ENSG00000049249.9,3,2,0,0,5,34,13
ENSG00000270330.1,0,0,0,0,0,0,0
ENSG00000116288.13,4078,3230,1768,3350,4124,4378,4890
ENSG00000200344.1,0,0,0,0,0,0,0
ENSG00000284747.1,2,8,1,5,4,11,11
ENSG00000284716.1,0,0,0,0,0,1,0
ENSG00000116285.13,1845,1889,564,1211,2248,8614,7702
ENSG00000238290.1,2,4,1,1,2,10,16
ENSG00000232848.1,0,0,0,0,0,0,0
ENSG00000229305.1,0,0,0,0,0,0,2
ENSG00000227634.3,1,0,0,0,0,3,5
ENSG00000200975.1,0,0,0,0,0,0,0
ENSG00000233645.1,0,0,0,0,0,0,0
ENSG00000251977.1,0,0,0,0,0,0,0
ENSG00000162426.15,125,165,59,116,154,177,215
ENSG00000252254.1,0,1,0,0,0,1,0
ENSG00000142599.19,2885,3979,1554,3745,4141,3198,2582
ENSG00000232912.6,4,1,2,2,1,6,5
ENSG00000221083.1,0,0,0,0,0,0,0
ENSG00000270282.1,0,0,0,0,0,0,0
ENSG00000234619.1,1,2,0,0,1,1,0
ENSG00000224315.2,0,0,0,2,0,0,0
ENSG00000222511.2,0,1,0,0,0,0,0
ENSG00000226545.1,0,0,0,0,0,0,0
ENSG00000228423.2,0,0,0,0,0,0,0
ENSG00000229716.2,0,0,0,0,0,0,0
ENSG00000074800.16,20299,18338,8455,17471,17635,33859,38718
ENSG00000274258.1,1,0,0,0,0,0,0
ENSG00000230679.1,1,2,1,1,0,1,1
ENSG00000201725.1,0,0,0,0,0,0,0
ENSG00000238249.2,0,2,0,0,0,1,1
ENSG00000232208.2,0,0,0,1,0,0,0
ENSG00000232663.2,0,0,0,0,0,0,0
ENSG00000131686.15,0,0,0,0,0,0,1
ENSG00000265141.2,0,0,0,0,0,0,0
ENSG00000197241.3,0,0,1,0,0,0,0
ENSG00000142583.18,36,30,32,71,6,9,5
ENSG00000252404.1,0,0,0,0,0,0,0
ENSG00000180758.12,116,121,43,137,53,252,267
ENSG00000228526.7,227,382,202,539,330,592,637
ENSG00000284357.1,0,0,0,0,0,0,0
ENSG00000234546.4,44,55,27,72,38,73,91
ENSG00000049239.13,4390,5810,2797,6437,5438,5084,5901
ENSG00000171621.14,1703,1508,747,1575,1091,2238,1479
ENSG00000284652.1,13,9,3,7,4,4,7
ENSG00000284693.1,67,68,27,72,40,57,68
ENSG00000252956.1,0,0,0,0,0,0,0
ENSG00000235263.1,0,0,0,0,0,0,0
ENSG00000171612.7,450,396,144,298,393,319,348
ENSG00000231181.1,1,4,2,7,8,5,4
ENSG00000188807.13,375,424,199,401,370,295,310
ENSG00000171608.16,77,95,53,127,41,597,570
ENSG00000179840.5,0,0,0,0,0,0,0
ENSG00000233268.3,0,0,0,0,0,0,0
ENSG00000231789.2,18,20,4,12,9,38,43
ENSG00000171603.18,6537,7411,3928,8416,8542,9621,8978
ENSG00000271264.1,0,0,0,0,0,0,0
ENSG00000280113.2,0,0,1,0,0,1,0
ENSG00000178585.15,1019,974,685,1349,1116,932,1097
ENSG00000223989.1,0,0,0,0,0,0,0
ENSG00000285701.1,0,0,0,0,0,0,0
ENSG00000162441.12,1522,1527,684,1483,1404,1283,1397
ENSG00000228150.1,0,1,0,3,0,1,5
ENSG00000173614.14,306,335,214,369,419,611,679
ENSG00000202415.1,1,0,1,2,1,0,0
ENSG00000283611.2,0,0,0,0,0,0,0
ENSG00000265521.1,1,0,0,0,0,0,0
ENSG00000241326.1,0,0,0,0,0,0,0
ENSG00000162444.12,5,3,3,7,66,0,2
ENSG00000130939.20,2873,3334,1388,3012,3159,3181,3011
ENSG00000224340.1,0,0,0,0,0,0,1
ENSG00000233623.2,0,0,1,0,0,0,0
ENSG00000201746.1,0,2,0,1,1,1,0
ENSG00000054523.18,2129,2932,1125,2792,3011,4462,4089
ENSG00000264881.1,0,2,0,0,0,0,0
ENSG00000199562.1,0,0,0,1,1,0,1
ENSG00000264501.2,0,0,0,0,0,0,0
ENSG00000284735.1,0,1,0,0,0,0,0
ENSG00000284642.1,4,8,0,4,6,15,16
ENSG00000142657.21,7712,7194,3147,6137,7397,11752,10027
ENSG00000271989.1,0,0,1,0,0,0,0
ENSG00000251503.8,0,0,0,0,0,0,0
ENSG00000175279.22,30,25,9,27,17,23,17
ENSG00000241563.4,2,2,0,2,4,0,0
ENSG00000160049.12,1326,1498,669,1506,1280,2104,2176
ENSG00000203469.2,0,0,0,0,0,0,0
ENSG00000142655.13,525,442,258,456,488,587,626
ENSG00000287727.1,0,0,0,0,0,0,0
ENSG00000243267.3,0,0,0,1,0,1,2
ENSG00000130940.15,13,12,8,7,27,26,16
ENSG00000272078.1,0,0,0,0,1,5,1
ENSG00000225158.2,0,0,0,0,0,0,0
ENSG00000175262.14,10,2,3,8,12,0,2
ENSG00000215785.2,1,0,2,1,0,1,1
ENSG00000120948.18,1860,1667,822,1796,1797,1892,1830
ENSG00000277726.4,0,0,0,0,0,0,0
ENSG00000009724.17,2,2,0,0,2,5,8
ENSG00000271895.2,31,15,13,32,36,21,36
ENSG00000116649.10,3826,3082,1371,2582,3762,4636,4769
ENSG00000171824.14,1566,1588,777,1712,1689,2054,1941
ENSG00000226849.1,9,22,4,30,18,12,7
ENSG00000230337.1,5,3,3,2,1,16,25
ENSG00000198793.13,1885,2556,870,2205,2759,3897,4194
ENSG00000225602.5,0,0,0,0,0,0,0
ENSG00000253086.1,0,0,0,0,0,0,0
ENSG00000171819.5,117,244,72,249,197,0,2
ENSG00000207451.1,0,0,0,0,0,0,0
ENSG00000238173.1,0,0,0,0,0,0,0
ENSG00000120942.14,699,705,308,562,688,783,811
ENSG00000238199.1,0,0,0,0,0,0,0
ENSG00000284646.1,0,0,0,0,0,0,0
ENSG00000224338.2,0,0,0,0,0,0,0
ENSG00000204624.8,11,5,4,5,3,2,8
ENSG00000285833.1,0,0,0,0,0,0,0
ENSG00000235643.2,0,0,0,0,0,0,0
ENSG00000284708.1,0,0,0,0,0,0,0
ENSG00000116661.11,308,268,173,347,673,591,474
ENSG00000132879.14,430,484,290,628,482,694,644
ENSG00000116663.11,378,300,187,315,446,327,392
ENSG00000116670.15,566,482,220,409,499,522,552
ENSG00000162490.7,5,5,2,9,5,22,17
ENSG00000177674.16,772,724,335,591,827,1036,1052
ENSG00000215910.7,8,3,5,6,11,2,0
ENSG00000177553.6,0,0,0,0,0,0,0
ENSG00000177000.13,1431,1773,642,1496,1706,921,1110
ENSG00000011021.23,1316,1805,574,1360,1404,1061,1050
ENSG00000276470.1,0,0,0,0,0,0,0
ENSG00000278852.1,0,0,0,0,0,0,0
ENSG00000175206.10,0,0,1,0,0,0,0
ENSG00000275915.1,0,0,0,0,0,0,0
ENSG00000120937.9,0,0,0,0,0,1,0
ENSG00000224904.1,0,2,0,0,0,0,0
ENSG00000285646.2,1,1,0,1,0,0,0
ENSG00000199347.1,0,0,0,0,0,0,0
ENSG00000201801.1,0,0,0,0,0,0,0
ENSG00000116685.16,1372,1217,623,1258,1202,2233,2083
ENSG00000083444.17,9047,8687,4628,9523,14924,23481,23263
ENSG00000287384.1,0,0,0,1,0,0,0
ENSG00000116688.18,2532,2789,1210,2586,3087,4496,4436
ENSG00000270914.1,0,0,0,0,0,0,0
ENSG00000116691.11,362,340,142,279,308,240,234
ENSG00000202461.1,0,0,0,0,0,0,0
ENSG00000276869.1,0,0,0,0,0,0,0
ENSG00000243539.3,0,0,0,0,0,0,0
ENSG00000120949.15,13,5,3,13,3,1,2
ENSG00000201135.1,0,0,0,0,0,0,0
ENSG00000227875.2,0,0,0,0,0,0,0
ENSG00000285604.1,0,0,0,0,0,0,0
ENSG00000283789.1,0,0,0,0,0,0,0
ENSG00000028137.19,42,32,11,27,9,0,0
ENSG00000263676.1,0,0,0,0,0,0,0
ENSG00000225196.2,0,0,0,0,0,0,0
ENSG00000252969.1,0,0,0,0,0,0,0
ENSG00000048707.15,1444,2355,879,2525,2562,3289,3294
ENSG00000239149.1,2,3,0,2,1,2,1
ENSG00000229484.1,0,0,0,0,0,1,0
ENSG00000162496.9,162,101,91,194,688,66,82
ENSG00000221340.1,0,0,3,1,0,0,2
ENSG00000276830.1,0,0,0,0,0,0,0
ENSG00000272482.1,1,2,1,0,4,3,1
ENSG00000204518.2,0,0,0,0,0,0,0
ENSG00000226166.2,0,0,0,0,0,0,0
ENSG00000188984.12,0,0,0,0,0,0,0
ENSG00000157330.10,1,1,0,1,0,0,0
ENSG00000116726.5,0,0,0,0,0,0,0
ENSG00000116721.9,0,0,0,0,0,0,0
ENSG00000228338.1,0,0,0,0,0,0,0
ENSG00000239810.3,0,0,0,0,0,0,0
ENSG00000231103.2,0,0,0,0,0,0,0
ENSG00000179172.10,0,1,1,1,0,0,0
ENSG00000120952.4,0,0,0,0,0,0,0
ENSG00000243073.4,0,0,0,0,0,0,0
ENSG00000187545.5,0,0,0,0,0,0,0
ENSG00000204510.5,0,0,0,0,0,0,0
ENSG00000207434.1,0,0,0,0,0,0,0
ENSG00000234064.1,0,0,0,0,0,0,0
ENSG00000232423.6,0,0,0,0,0,0,0
ENSG00000274178.2,0,0,0,0,0,0,0
ENSG00000274764.5,0,0,0,0,0,0,0
ENSG00000277058.2,1,0,0,0,0,0,0
ENSG00000229571.7,0,0,0,0,0,0,0
ENSG00000277862.1,0,0,0,0,0,0,0
ENSG00000236179.1,0,0,0,0,0,0,0
ENSG00000275774.3,0,0,0,0,1,0,1
ENSG00000229978.1,0,0,0,0,0,0,0
ENSG00000233336.1,0,0,0,0,0,0,0
ENSG00000280267.4,0,0,0,0,0,0,0
ENSG00000179412.11,0,0,0,0,0,0,1
ENSG00000204505.4,0,0,0,0,0,0,0
ENSG00000279169.3,0,0,0,0,0,0,0
ENSG00000279804.2,0,0,0,0,0,0,0
ENSG00000250894.1,0,0,0,0,0,0,0
ENSG00000270601.4,0,0,0,0,0,0,0
ENSG00000231219.1,0,0,0,0,0,0,0
ENSG00000207511.1,0,0,0,0,0,0,0
ENSG00000182330.10,0,0,0,0,0,0,0
ENSG00000237700.2,0,0,0,0,0,0,0
ENSG00000204501.7,0,0,0,0,0,0,0
ENSG00000228229.2,0,0,0,0,0,0,0
ENSG00000204481.8,0,0,0,0,0,0,0
ENSG00000204480.8,0,0,0,0,0,0,0
ENSG00000204479.4,0,0,0,0,0,0,0
ENSG00000204478.9,0,0,0,0,0,0,0
ENSG00000162494.6,0,0,0,0,0,0,0
ENSG00000259961.1,0,0,0,0,0,0,0
ENSG00000215909.3,0,0,0,0,0,0,0
ENSG00000162493.16,707,774,849,1995,1129,157,178
ENSG00000222952.1,0,0,0,0,0,0,0
ENSG00000237445.2,0,0,0,0,0,0,0
ENSG00000253085.1,0,0,0,0,0,0,0
ENSG00000116731.22,1122,1582,846,1936,1604,1279,1341
ENSG00000189337.17,560,615,418,901,735,362,319
ENSG00000252151.1,0,0,0,0,0,0,0
ENSG00000231606.2,0,1,0,0,1,0,0
ENSG00000234593.3,0,0,0,0,0,0,0
ENSG00000235829.1,0,0,0,0,0,0,0
ENSG00000287756.1,0,0,0,0,0,0,0
ENSG00000175147.13,4,3,3,7,17,3,2
ENSG00000171729.14,44,28,47,55,105,349,284
ENSG00000204464.7,0,0,0,0,0,0,0
ENSG00000215720.4,0,0,0,0,0,0,0
ENSG00000278480.1,0,0,0,0,0,0,0
ENSG00000142621.19,59,56,121,246,35,47,44
ENSG00000233485.1,6,2,1,8,10,2,0
ENSG00000236045.1,0,1,1,0,3,0,0
ENSG00000228140.2,4,1,1,3,1,3,0
ENSG00000142634.13,1413,1327,561,1215,952,1085,1090
ENSG00000162438.12,1,1,0,0,1,0,0
ENSG00000142615.8,0,0,0,0,0,0,0
ENSG00000215704.10,0,0,0,0,0,0,0
ENSG00000132906.18,280,280,142,300,265,352,367
ENSG00000116138.13,919,1159,438,1036,1109,1752,1865
ENSG00000251866.1,0,0,0,0,0,0,0
ENSG00000272510.1,2,0,0,0,0,0,1
ENSG00000116771.6,35,36,19,20,40,83,87
ENSG00000237301.1,0,3,0,0,2,0,1
ENSG00000235084.3,21,19,11,26,26,86,84
ENSG00000252417.1,0,0,0,0,0,0,0
ENSG00000236500.1,0,0,0,0,0,0,0
ENSG00000197312.12,741,977,377,834,951,1421,1373
ENSG00000215695.1,0,0,0,0,0,0,0
ENSG00000271742.1,0,0,0,3,0,0,0
ENSG00000116786.13,2823,3056,1509,3149,2928,3130,3024
ENSG00000237938.5,2,0,2,0,2,0,0
ENSG00000162461.8,34,48,17,31,31,43,37
ENSG00000224459.1,0,0,0,0,0,0,2
ENSG00000162460.7,0,0,0,0,0,0,0
ENSG00000162458.13,610,646,456,883,659,3227,2836
ENSG00000224321.1,0,1,0,0,1,0,2
ENSG00000233954.6,177,129,67,140,129,193,215
ENSG00000178715.8,12,8,2,11,16,4,4
ENSG00000179743.4,56,68,30,58,73,27,40
ENSG00000065526.12,2111,3285,1142,3383,2915,2857,2377
ENSG00000270620.1,0,0,0,0,0,0,0
ENSG00000116809.12,591,597,263,659,603,659,635
ENSG00000234607.2,0,0,0,0,0,0,0
ENSG00000231353.1,0,0,0,0,0,0,0
ENSG00000275503.1,0,0,0,0,0,0,0
ENSG00000224966.4,0,1,0,0,0,0,0
ENSG00000183888.4,0,0,0,0,0,0,0
ENSG00000233078.1,0,0,0,0,0,0,0
ENSG00000173641.17,46,32,15,36,366,15,11
