0,C25,C25 w/ testosterone,C24,C24 w/ testosterone,C31,C31 w/ testosterone,C32
ENSG00000253022.1,0,0,0,0,0,0,0
ENSG00000229519.2,0,0,0,0,0,0,0
ENSG00000173662.21,0,2,3,10,23,29,10
ENSG00000204859.13,252,352,294,574,275,295,416
ENSG00000162413.16,1356,1643,1960,1957,2033,1780,1729
ENSG00000116273.6,748,973,1549,1646,939,848,970
ENSG00000041988.15,249,317,337,655,278,349,361
ENSG00000007923.16,1648,2118,1480,2251,999,889,1311
ENSG00000228750.7,0,0,0,0,0,0,0
ENSG00000284744.1,0,0,0,0,0,0,0
ENSG00000237436.1,0,2,5,5,6,4,6
ENSG00000171735.19,475,720,588,475,520,645,554
ENSG00000227950.1,0,0,0,0,0,0,0
ENSG00000237365.1,0,0,0,0,0,0,0
ENSG00000207056.1,0,0,0,0,0,0,0
ENSG00000237402.1,0,1,0,1,1,1,1
ENSG00000237728.2,0,0,0,0,0,0,0
ENSG00000225126.1,0,0,0,0,0,0,0
ENSG00000270171.1,0,0,0,0,0,0,0
ENSG00000270035.1,0,0,0,0,0,0,0
ENSG00000269978.1,0,0,0,0,0,0,0
ENSG00000049245.13,2994,3804,2995,2055,2185,2279,2158
ENSG00000269925.1,5,10,17,16,7,4,16
ENSG00000049246.14,112,163,282,233,127,97,185
ENSG00000236266.1,0,1,0,0,0,0,0
ENSG00000049247.14,0,0,0,0,0,1,0
ENSG00000049249.9,4,3,0,0,0,1,2
ENSG00000270330.1,0,0,0,0,0,0,0
ENSG00000116288.13,4552,6008,4363,5384,4077,4877,4173
ENSG00000200344.1,0,0,0,0,0,0,0
ENSG00000284747.1,15,5,17,18,6,3,3
ENSG00000284716.1,0,1,0,1,0,0,0
ENSG00000116285.13,6203,6897,3053,1607,1987,2068,2157
ENSG00000238290.1,7,6,3,0,5,1,4
ENSG00000232848.1,0,0,0,0,0,0,0
ENSG00000229305.1,0,0,0,0,0,0,0
ENSG00000227634.3,0,0,0,0,0,0,0
ENSG00000200975.1,0,0,0,0,0,0,0
ENSG00000233645.1,0,0,0,0,0,0,0
ENSG00000251977.1,0,0,0,0,0,0,0
ENSG00000162426.15,71,100,142,191,88,111,93
ENSG00000252254.1,0,0,0,0,0,0,0
ENSG00000142599.19,2665,3357,5162,4583,3049,2524,3379
ENSG00000232912.6,3,1,6,0,1,7,1
ENSG00000221083.1,0,0,0,0,0,0,0
ENSG00000270282.1,0,0,0,0,0,0,0
ENSG00000234619.1,0,1,2,0,1,3,0
ENSG00000224315.2,0,0,2,0,0,0,0
ENSG00000222511.2,0,0,0,0,0,0,0
ENSG00000226545.1,0,0,0,0,0,0,0
ENSG00000228423.2,1,1,0,2,0,0,1
ENSG00000229716.2,0,0,0,0,0,0,0
ENSG00000074800.16,32886,42127,20388,27599,21951,22852,20392
ENSG00000274258.1,0,0,0,0,0,0,0
ENSG00000230679.1,4,7,1,3,2,2,4
ENSG00000201725.1,0,0,0,0,0,0,0
ENSG00000238249.2,1,0,0,0,0,1,1
ENSG00000232208.2,0,0,1,0,1,2,0
ENSG00000232663.2,0,0,0,0,0,0,1
ENSG00000131686.15,0,0,0,0,0,0,0
ENSG00000265141.2,0,0,0,0,0,0,0
ENSG00000197241.3,0,0,0,0,0,0,0
ENSG00000142583.18,3,3,5,2,9,5,4
ENSG00000252404.1,0,0,0,0,0,0,0
ENSG00000180758.12,139,193,93,101,53,64,80
ENSG00000228526.7,223,255,360,382,705,608,281
ENSG00000284357.1,0,0,0,0,0,0,0
ENSG00000234546.4,56,67,102,81,91,102,37
ENSG00000049239.13,3415,4348,9443,9103,4443,3307,4940
ENSG00000171621.14,1764,2487,1345,1170,1261,1158,1048
ENSG00000284652.1,8,4,2,3,2,10,9
ENSG00000284693.1,35,60,88,105,34,31,34
ENSG00000252956.1,0,0,0,0,0,0,0
ENSG00000235263.1,0,0,0,0,0,0,0
ENSG00000171612.7,403,458,436,498,368,402,416
ENSG00000231181.1,2,6,5,5,3,1,6
ENSG00000188807.13,394,430,376,520,323,306,482
ENSG00000171608.16,342,313,22,22,35,37,27
ENSG00000179840.5,0,0,0,0,0,0,0
ENSG00000233268.3,0,0,0,0,0,0,0
ENSG00000231789.2,18,19,1,3,4,7,8
ENSG00000171603.18,4897,6286,7806,10449,5760,4441,7893
ENSG00000271264.1,0,0,0,0,0,0,0
ENSG00000280113.2,0,0,0,0,0,0,0
ENSG00000178585.15,1467,1873,921,1070,886,851,967
ENSG00000223989.1,0,0,0,0,0,0,1
ENSG00000285701.1,0,0,0,0,0,0,0
ENSG00000162441.12,1169,1543,2025,1919,1369,1443,1580
ENSG00000228150.1,3,1,2,1,0,1,0
ENSG00000173614.14,415,541,439,377,404,412,351
ENSG00000202415.1,0,2,5,1,1,1,1
ENSG00000283611.2,0,0,0,0,0,0,0
ENSG00000265521.1,0,1,0,0,1,0,0
ENSG00000241326.1,0,0,0,0,0,0,0
ENSG00000162444.12,9,13,12,17,10,8,10
ENSG00000130939.20,2528,3370,3334,2960,2441,1882,3002
ENSG00000224340.1,0,0,0,0,0,0,0
ENSG00000233623.2,0,0,0,0,1,0,0
ENSG00000201746.1,2,0,3,0,0,0,0
ENSG00000054523.18,3093,4070,3751,2790,2045,1608,2733
ENSG00000264881.1,0,0,0,0,0,0,0
ENSG00000199562.1,0,0,2,0,3,0,2
ENSG00000264501.2,0,0,0,0,0,0,0
ENSG00000284735.1,0,0,0,0,2,0,0
ENSG00000284642.1,6,6,3,12,4,5,4
ENSG00000142657.21,6781,8758,4273,4740,5569,5327,7825
ENSG00000271989.1,1,2,0,1,1,2,1
ENSG00000251503.8,0,0,0,0,0,0,0
ENSG00000175279.22,18,18,22,11,28,35,32
ENSG00000241563.4,0,2,1,0,1,1,0
ENSG00000160049.12,1844,2443,1632,1762,1218,1132,1308
ENSG00000203469.2,0,0,0,0,1,0,0
ENSG00000142655.13,452,592,501,710,447,448,555
ENSG00000287727.1,0,0,0,0,0,0,0
ENSG00000243267.3,0,0,1,0,0,0,1
ENSG00000130940.15,5,5,10,18,11,10,15
ENSG00000272078.1,0,1,0,0,0,0,1
ENSG00000225158.2,0,0,0,0,0,0,0
ENSG00000175262.14,0,0,26,37,20,13,6
ENSG00000215785.2,0,0,0,0,0,0,0
ENSG00000120948.18,2146,2556,1933,2167,1640,1796,1835
ENSG00000277726.4,0,0,0,0,0,0,0
ENSG00000009724.17,3,2,0,0,0,0,1
ENSG00000271895.2,16,11,16,23,36,35,28
ENSG00000116649.10,4313,5703,2257,3541,3588,4090,3192
ENSG00000171824.14,1773,2317,1968,1830,1888,1761,1595
ENSG00000226849.1,4,7,15,15,21,14,13
ENSG00000230337.1,9,15,0,4,3,10,6
ENSG00000198793.13,2672,3572,2313,2268,1696,1267,2352
ENSG00000225602.5,0,1,0,0,0,0,1
ENSG00000253086.1,0,0,0,0,0,0,0
ENSG00000171819.5,42,416,1533,2736,7391,11807,87
ENSG00000207451.1,0,0,0,0,0,0,0
ENSG00000238173.1,0,0,0,0,0,0,0
ENSG00000120942.14,687,869,776,535,453,451,632
ENSG00000238199.1,0,0,0,0,0,0,0
ENSG00000284646.1,0,0,0,0,0,0,0
ENSG00000224338.2,0,0,0,0,0,0,0
ENSG00000204624.8,1,4,3,11,12,4,2
ENSG00000285833.1,0,0,0,0,0,0,0
ENSG00000235643.2,0,0,0,0,0,0,0
ENSG00000284708.1,0,0,0,0,0,0,0
ENSG00000116661.11,290,483,1011,1750,4325,5057,896
ENSG00000132879.14,324,447,467,710,706,750,460
ENSG00000116663.11,185,254,310,308,352,355,397
ENSG00000116670.15,488,622,401,810,477,529,615
ENSG00000162490.7,193,202,15,19,80,61,7
ENSG00000177674.16,678,933,798,877,872,983,861
ENSG00000215910.7,1,1,5,13,7,7,9
ENSG00000177553.6,0,0,0,0,0,0,0
ENSG00000177000.13,866,1201,2348,2730,1622,1264,1943
ENSG00000011021.23,861,1132,1264,1158,1072,915,1617
ENSG00000276470.1,0,0,0,0,0,0,0
ENSG00000278852.1,0,0,0,0,0,0,0
ENSG00000175206.10,0,0,0,0,1,0,0
ENSG00000275915.1,0,0,0,0,0,0,0
ENSG00000120937.9,0,0,0,0,0,0,0
ENSG00000224904.1,0,0,0,0,0,0,1
ENSG00000285646.2,0,2,0,5,1,2,0
ENSG00000199347.1,0,0,0,0,0,0,0
ENSG00000201801.1,0,3,0,0,0,0,0
ENSG00000116685.16,1412,1714,1492,2248,1392,1440,1277
ENSG00000083444.17,9117,11457,9831,13972,17279,15938,15716
ENSG00000287384.1,0,1,0,0,1,2,0
ENSG00000116688.18,3231,4099,3805,4581,2458,1980,2753
ENSG00000270914.1,0,0,0,0,0,0,0
ENSG00000116691.11,243,337,198,392,296,332,342
ENSG00000202461.1,0,0,0,0,0,0,0
ENSG00000276869.1,0,0,0,0,0,0,0
ENSG00000243539.3,0,0,0,0,0,0,0
ENSG00000120949.15,38,29,15,12,44,38,5
ENSG00000201135.1,0,0,0,0,0,0,0
ENSG00000227875.2,0,0,0,0,1,0,0
ENSG00000285604.1,0,0,0,0,0,0,0
ENSG00000283789.1,0,0,0,0,0,0,0
ENSG00000028137.19,0,1,18,22,30,33,5
ENSG00000263676.1,0,0,0,0,0,0,0
ENSG00000225196.2,0,0,0,0,0,0,0
ENSG00000252969.1,0,0,0,0,0,0,0
ENSG00000048707.15,2230,2938,3103,2547,1146,798,1773
ENSG00000239149.1,1,1,0,4,0,0,0
ENSG00000229484.1,0,0,0,0,0,0,0
ENSG00000162496.9,82,150,486,1170,391,568,430
ENSG00000221340.1,0,0,2,0,0,1,1
ENSG00000276830.1,0,1,0,0,0,0,0
ENSG00000272482.1,5,2,2,8,1,3,1
ENSG00000204518.2,0,0,0,0,1,0,0
ENSG00000226166.2,0,0,0,0,0,0,0
ENSG00000188984.12,0,0,0,0,0,0,0
ENSG00000157330.10,0,0,1,0,0,0,1
ENSG00000116726.5,0,0,0,0,0,0,0
ENSG00000116721.9,0,0,0,0,0,0,0
ENSG00000228338.1,0,0,0,0,0,0,0
ENSG00000239810.3,0,0,0,0,0,0,0
ENSG00000231103.2,0,0,0,0,0,0,0
ENSG00000179172.10,1,3,3,1,4,0,1
ENSG00000120952.4,0,0,0,0,0,0,0
ENSG00000243073.4,0,0,0,0,0,0,0
ENSG00000187545.5,0,0,0,0,0,0,0
ENSG00000204510.5,0,0,0,0,0,0,0
ENSG00000207434.1,0,0,0,0,0,0,0
ENSG00000234064.1,0,0,0,0,0,0,0
ENSG00000232423.6,0,0,0,0,0,0,0
ENSG00000274178.2,0,0,0,0,0,0,0
ENSG00000274764.5,0,0,0,0,0,0,0
ENSG00000277058.2,0,1,0,0,0,0,0
ENSG00000229571.7,0,0,0,0,0,0,0
ENSG00000277862.1,0,0,0,0,0,0,0
ENSG00000236179.1,0,0,0,0,0,0,0
ENSG00000275774.3,0,0,0,0,0,0,0
ENSG00000229978.1,0,0,0,0,0,0,0
ENSG00000233336.1,0,0,0,0,0,0,0
ENSG00000280267.4,0,0,0,0,0,0,0
ENSG00000179412.11,0,0,0,0,0,0,0
ENSG00000204505.4,0,0,0,0,0,0,0
ENSG00000279169.3,0,0,0,0,0,0,0
ENSG00000279804.2,0,0,0,0,0,0,0
ENSG00000250894.1,0,0,0,0,0,0,0
ENSG00000270601.4,0,0,0,0,0,0,0
ENSG00000231219.1,0,0,0,0,0,0,0
ENSG00000207511.1,0,0,0,0,0,0,0
ENSG00000182330.10,0,0,0,0,0,0,0
ENSG00000237700.2,0,0,0,0,0,0,0
ENSG00000204501.7,0,0,0,0,0,0,0
ENSG00000228229.2,0,0,0,0,0,0,0
ENSG00000204481.8,0,0,0,0,0,0,0
ENSG00000204480.8,0,0,0,0,0,0,0
ENSG00000204479.4,0,0,0,0,0,0,0
ENSG00000204478.9,0,0,0,0,0,0,0
ENSG00000162494.6,0,0,0,0,0,0,0
ENSG00000259961.1,0,0,0,0,0,0,0
ENSG00000215909.3,0,0,0,0,0,0,0
ENSG00000162493.16,245,337,16,14,90,124,487
ENSG00000222952.1,0,0,0,0,0,0,0
ENSG00000237445.2,0,0,0,0,0,0,0
ENSG00000253085.1,0,0,0,0,0,0,0
ENSG00000116731.22,1554,2032,1672,1336,1203,879,1294
ENSG00000189337.17,446,554,901,803,584,547,505
ENSG00000252151.1,0,0,0,0,0,0,0
ENSG00000231606.2,1,0,0,0,0,0,0
ENSG00000234593.3,0,0,0,0,0,0,0
ENSG00000235829.1,0,0,0,0,0,0,0
ENSG00000287756.1,0,0,0,0,0,0,0
ENSG00000175147.13,1,1,1,4,1,1,2
ENSG00000171729.14,78,84,31,36,29,30,45
ENSG00000204464.7,0,0,0,0,0,0,0
ENSG00000215720.4,0,0,0,0,0,0,0
ENSG00000278480.1,0,0,0,0,0,0,0
ENSG00000142621.19,33,66,16,14,8,0,21
ENSG00000233485.1,0,1,3,5,3,1,3
ENSG00000236045.1,0,0,0,0,0,0,0
ENSG00000228140.2,1,2,1,3,0,1,2
ENSG00000142634.13,1305,1630,2255,3376,1384,1427,1565
ENSG00000162438.12,1,0,0,1,1,0,0
ENSG00000142615.8,0,0,0,1,0,1,0
ENSG00000215704.10,0,0,0,0,0,0,0
ENSG00000132906.18,205,238,281,300,277,236,271
ENSG00000116138.13,990,1241,1358,1128,743,664,1000
ENSG00000251866.1,0,1,0,0,0,0,0
ENSG00000272510.1,0,2,0,1,3,0,1
ENSG00000116771.6,71,99,29,28,29,41,50
ENSG00000237301.1,0,1,1,2,1,2,2
ENSG00000235084.3,24,32,5,14,34,42,46
ENSG00000252417.1,0,0,0,0,0,0,0
ENSG00000236500.1,0,0,0,0,0,0,0
ENSG00000197312.12,1253,1459,1304,963,701,529,840
ENSG00000215695.1,0,0,0,0,0,0,0
ENSG00000271742.1,0,0,0,0,1,0,0
ENSG00000116786.13,2260,2689,3415,4052,3125,2580,2851
ENSG00000237938.5,0,0,0,1,2,0,2
ENSG00000162461.8,18,26,22,25,14,21,37
ENSG00000224459.1,2,5,0,0,0,0,0
ENSG00000162460.7,0,0,0,0,0,1,0
ENSG00000162458.13,2333,3419,834,1253,546,486,754
ENSG00000224321.1,1,0,1,3,0,5,0
ENSG00000233954.6,155,229,173,236,153,165,167
ENSG00000178715.8,5,7,8,16,7,9,10
ENSG00000179743.4,37,41,93,96,68,56,58
ENSG00000065526.12,2399,2985,2964,3427,1536,935,2615
ENSG00000270620.1,0,0,0,0,0,0,0
ENSG00000116809.12,641,823,647,1267,594,572,572
ENSG00000234607.2,0,0,0,0,0,0,0
ENSG00000231353.1,0,0,0,0,0,0,0
ENSG00000275503.1,0,0,0,0,0,0,0
ENSG00000224966.4,0,0,0,0,0,0,0
ENSG00000183888.4,0,0,0,0,0,0,0
